@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE class {jazz,notjazz}

@DATA
12.654968,17.633490,100.051378,0.195513,36.029149,jazz
13.119632,16.124727,94.565117,0.088250,26.875576,jazz
14.222815,8.621986,45.722782,0.204319,16.181115,jazz
13.584458,12.833137,57.719172,0.306424,16.572707,jazz
14.064145,9.843753,51.826550,0.309101,13.543132,jazz
13.940053,10.434238,80.785502,0.064493,32.994454,jazz
14.179729,8.636061,57.939201,0.446896,14.790983,jazz
13.819647,11.171977,62.246890,0.251181,27.288440,jazz
14.333961,7.848517,49.522772,1.032424,17.164817,jazz
14.364165,7.489791,54.661668,1.300554,23.434885,jazz
13.456663,13.410633,60.217282,0.333182,19.271903,jazz
13.928769,10.758468,82.237096,0.375264,23.451715,jazz
13.868469,10.872592,76.577217,0.793794,29.404870,jazz
14.221954,8.737035,84.148219,1.314073,39.993616,jazz
12.758549,17.214341,85.825008,0.077688,13.520266,jazz
14.034121,10.039723,76.759009,0.706725,29.607652,jazz
13.530299,13.649120,86.908853,0.365822,32.635583,jazz
13.169963,14.583182,135.168335,0.122008,66.478001,jazz
14.138444,9.131132,102.589686,2.239942,45.427870,jazz
14.342434,7.679573,52.263881,0.564627,17.446376,jazz
13.321531,14.754969,135.386874,0.395829,54.149113,jazz
13.975682,10.460685,76.815710,0.819605,26.858093,jazz
13.654114,13.136823,82.825754,0.083213,19.184651,jazz
14.279836,8.295738,73.873781,0.548722,29.982736,jazz
13.803040,11.435910,69.056622,0.078982,24.468708,jazz
13.684745,12.060421,71.319525,0.129047,17.053774,jazz
13.893701,10.050266,36.534538,0.022405,12.748736,jazz
14.054991,9.925929,63.448336,0.758881,21.627370,jazz
13.705643,12.609848,120.236708,0.019095,42.891549,jazz
14.072258,9.480819,81.695808,0.322846,36.360527,jazz
14.044442,9.943907,51.714074,0.080977,12.798340,jazz
14.346847,7.549272,42.484067,1.601193,12.634162,jazz
13.462744,12.803282,70.709493,0.048573,29.289406,jazz
13.362930,14.249948,90.771375,0.127613,23.665477,jazz
14.316840,7.357781,35.082387,0.466232,15.218609,jazz
14.208339,8.807662,42.911674,0.551638,10.073636,jazz
13.924040,10.730788,74.764935,0.470996,31.502069,jazz
13.946516,10.850114,74.369342,0.714765,25.518093,jazz
14.317876,7.695496,42.868500,0.156476,14.575652,jazz
13.815667,11.464622,85.501745,0.391450,25.588053,jazz
14.491599,6.264504,41.674299,0.330336,9.156005,jazz
13.728369,11.653604,76.810749,0.149985,29.635010,jazz
13.364741,14.119440,65.789509,0.465013,25.741530,jazz
14.306879,7.747746,40.761473,0.540043,12.006250,jazz
13.969695,10.480357,66.737972,0.995069,17.613078,jazz
14.264430,8.313040,38.275459,0.447033,14.115843,jazz
13.638491,12.270701,56.216418,0.130849,23.850522,jazz
14.049055,9.613326,55.936597,0.218209,20.168479,jazz
14.269233,8.210661,62.114471,0.900104,17.299538,jazz
13.971209,10.165162,39.244871,0.185953,12.460356,jazz
14.523156,3.856086,26.654664,3.489619,7.795569,jazz
13.362969,14.249733,90.764587,0.127940,23.664120,jazz
14.140612,8.245894,38.128421,0.626513,13.964087,jazz
14.316575,7.360372,35.080867,0.466178,15.259251,jazz
14.282067,7.982004,43.128939,1.542353,13.751589,jazz
14.208346,8.807606,42.913059,0.551325,10.072674,jazz
14.423266,5.957863,33.449274,1.493041,12.344122,jazz
13.463055,13.755815,67.804706,0.086658,22.890855,jazz
13.924118,10.730252,74.761943,0.471636,31.499954,jazz
13.961237,8.690050,43.009440,0.350340,13.529514,jazz
13.946753,10.848712,74.357767,0.714983,25.513117,jazz
14.533351,4.195625,26.820959,0.593932,8.967832,jazz
14.318042,7.693899,42.857908,0.156482,14.566809,jazz
14.339323,6.040216,32.327606,2.061124,10.282520,jazz
14.522250,5.431194,27.901232,1.874957,9.420554,jazz
13.815681,11.464533,85.504345,0.391983,25.583873,jazz
14.446721,5.511607,28.935759,1.138806,8.973347,jazz
14.491657,6.264054,41.672136,0.330098,9.151845,jazz
13.364741,14.119500,65.793512,0.464953,25.742534,jazz
14.306503,7.745502,40.743220,0.542439,11.999104,jazz
13.969210,10.484551,66.841112,0.994764,17.631203,jazz
14.264403,8.313071,38.278118,0.447682,14.113212,jazz
13.638506,12.270661,56.215838,0.131110,23.850475,jazz
13.980526,10.044098,49.391290,0.925336,13.830543,jazz
13.346463,13.808244,68.468465,0.163640,28.243398,jazz
13.982975,9.903306,43.396606,0.519476,14.890255,jazz
14.019196,9.860397,51.325568,0.298063,19.135800,jazz
14.185944,8.643783,34.012280,0.481289,11.367803,jazz
13.607914,12.484471,50.742204,0.195696,19.441696,jazz
14.308117,7.663970,56.534291,1.424131,26.179407,jazz
14.419172,6.885693,50.695606,2.095347,18.126943,jazz
14.092179,9.258848,76.201278,0.676428,36.358695,jazz
14.050516,9.867078,72.258089,0.500887,23.057473,jazz
14.314292,7.362600,35.855681,0.908755,13.432670,jazz
14.031116,9.638585,56.099728,0.731401,23.705049,jazz
14.083468,9.634733,57.032899,1.047613,18.933975,jazz
14.133734,9.061855,45.062465,0.542158,15.831862,jazz
12.921767,16.136881,97.793308,0.055828,34.557446,jazz
14.035237,9.576527,50.528504,0.287448,17.518674,jazz
13.338268,14.598562,96.412778,0.157823,33.609548,jazz
14.375037,7.115017,39.264482,1.152944,14.912114,notjazz
14.301875,7.649277,43.013908,1.534152,17.360751,notjazz
14.389319,6.996373,35.366222,1.396938,15.304376,notjazz
13.629017,12.443188,62.337897,0.366942,23.180131,notjazz
14.514638,5.229269,37.737900,5.093920,17.887675,notjazz
14.469446,6.164638,30.434993,0.872115,11.656096,notjazz
12.865963,16.539441,91.252385,0.141721,18.724065,notjazz
13.448974,13.691528,94.775013,0.034859,40.963085,notjazz
13.502547,13.362077,76.598062,0.083193,34.932237,notjazz
14.332171,7.475523,35.721782,1.081602,14.342892,notjazz
13.478136,13.385187,68.184298,0.220250,12.936308,notjazz
13.178212,15.982826,117.353802,0.185385,10.291003,notjazz
14.669997,4.299628,37.422989,3.356870,12.598281,notjazz
13.701692,12.449053,79.914489,0.353005,16.273572,notjazz
12.602187,18.290173,99.809986,0.435184,30.144070,notjazz
13.506960,12.988543,66.172553,0.051969,18.466585,notjazz
12.473132,19.175963,148.856977,0.107559,41.796963,notjazz
12.719364,17.290645,148.662743,0.244338,60.849712,notjazz
12.026378,20.596002,125.028955,0.006457,33.385599,notjazz
13.218375,16.197594,130.983150,1.117721,27.762415,notjazz
14.244034,8.411093,40.250221,1.030095,16.648209,notjazz
13.602692,12.400694,76.720125,0.596349,30.196767,notjazz
14.386265,7.153185,42.467664,1.315243,19.553677,notjazz
14.327393,7.429763,40.080682,1.777512,15.045028,notjazz
14.410666,6.702319,39.377262,2.634347,18.019407,notjazz
13.182010,14.617620,62.042952,0.459639,20.092315,notjazz
14.332337,7.490317,41.399741,0.795763,12.546412,notjazz
14.484276,5.754779,40.230629,2.851446,13.912109,notjazz
14.565304,5.188667,30.946156,2.342672,13.073135,notjazz
14.404375,6.726439,43.238420,1.561091,11.005292,notjazz
14.407360,6.786770,41.229773,0.678544,13.066398,notjazz
14.225670,8.005692,36.798377,1.515526,16.897959,notjazz
14.336243,6.053814,30.157119,1.658228,13.768240,notjazz
14.027693,9.514224,47.970884,0.102821,23.955487,notjazz
13.524427,12.269308,61.540650,0.136659,30.713540,notjazz
13.993238,9.747383,43.403826,0.414452,20.582148,notjazz
14.102925,9.196765,46.199914,1.745900,19.997671,notjazz
14.008233,9.792228,48.412185,1.473515,20.968379,notjazz
14.556011,5.421303,32.884408,4.078554,12.337257,notjazz
14.446468,6.344033,36.391406,0.983680,15.000124,notjazz
14.158854,8.770082,41.327377,0.227937,14.607387,notjazz
14.180153,8.831485,46.025786,1.122633,19.686530,notjazz
13.643253,11.704705,58.614046,0.799869,27.167031,notjazz
14.602148,4.509882,28.138850,3.250514,10.997718,notjazz
13.230887,13.570650,72.847639,0.120853,33.688202,notjazz
14.046591,9.795427,55.477020,1.226504,25.409109,notjazz
13.314024,13.207857,57.227815,0.003492,26.166241,notjazz
13.639350,10.404699,51.095910,-0.000000,23.958599,notjazz
13.804712,10.543369,41.821994,0.042779,16.274833,notjazz
14.204679,8.708432,49.036200,2.575519,21.549327,notjazz
14.603205,4.318569,35.070152,7.193685,13.264047,notjazz
14.279351,7.807591,39.986282,0.010961,14.761978,notjazz
14.532895,5.784568,36.529084,5.650188,12.307353,notjazz
14.561674,5.346449,30.526913,4.302986,11.126935,notjazz
14.656954,3.929755,26.326724,4.977731,8.684426,notjazz
13.581028,12.052871,52.032580,0.002443,21.016259,notjazz
14.633021,4.447531,32.094393,6.517549,9.925660,notjazz
14.611554,4.454499,34.096145,6.848984,10.562040,notjazz
14.558683,5.364301,38.763035,0.137727,11.332984,notjazz
14.190833,8.480543,43.817381,0.174013,16.554661,notjazz
