@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE class {metal,notmetal}

@DATA
14.662599,4.088664,29.568771,7.047093,7.613938,metal
14.655058,3.993358,28.157830,6.076170,6.723277,metal
14.598509,4.924182,33.550707,2.269363,11.347165,metal
14.561674,5.346449,30.526913,4.302986,11.126935,metal
14.627912,4.140891,30.105781,0.076141,11.865674,metal
14.201571,8.295786,53.719884,3.191342,22.883531,metal
14.553852,5.359289,34.076214,4.328632,12.434867,metal
14.522687,5.380774,36.960522,6.814644,12.670515,metal
14.407567,6.794098,44.504192,3.730874,16.441664,metal
14.730202,2.726521,22.519443,5.153120,5.456505,metal
14.708357,2.962862,25.605139,2.691270,8.297226,metal
14.756514,1.916618,24.319190,5.725537,6.942838,metal
14.734833,2.578893,22.778756,7.562613,6.879743,metal
14.676582,3.425190,26.901705,0.099885,8.333590,metal
14.611410,4.659980,31.415741,0.053009,9.272903,metal
14.682002,3.502134,28.743039,5.898673,9.511857,metal
14.650796,4.091993,28.962607,3.948375,6.993807,metal
14.487755,5.354529,35.934590,4.674523,16.585528,metal
14.731083,2.756154,24.549807,5.887634,5.317478,metal
14.287642,7.292337,42.180241,0.094141,15.455174,metal
14.364750,6.772483,45.809816,0.321419,19.360018,metal
14.381511,7.307879,43.746433,3.987061,19.312112,metal
14.442674,6.652245,36.152347,3.039818,15.586707,metal
14.546529,5.202284,35.340225,4.473199,12.967401,metal
14.689325,3.244642,26.072204,4.276905,8.940112,metal
14.503246,5.770611,34.045929,2.235293,14.258822,metal
14.651539,4.138680,26.604569,1.195425,9.747280,metal
14.588309,4.990282,32.386817,1.246464,10.747478,metal
14.712077,3.079358,25.667539,7.596438,7.024091,metal
14.466119,6.212809,36.259042,2.378587,16.901337,metal
14.575941,5.057430,34.058504,4.116316,11.996067,metal
14.574900,4.914450,32.001526,5.367030,10.228491,metal
14.508085,5.654924,33.287572,0.178008,12.504182,metal
14.673007,3.778140,34.339793,5.896897,6.692271,metal
14.436754,6.577832,41.281296,0.214508,15.413375,metal
14.558683,5.364301,38.763035,0.137727,11.332984,metal
14.371883,6.848179,33.489037,2.803258,14.193016,metal
14.633021,4.447531,32.094393,6.517549,9.925660,metal
13.581028,12.052871,52.032580,0.002443,21.016259,metal
14.208434,9.145763,56.640590,1.076238,11.297336,metal
14.481625,6.157466,38.373075,4.242536,13.679938,metal
14.538463,5.350217,33.346100,3.269772,13.183902,metal
14.547099,5.552973,37.422722,3.849697,14.156266,metal
14.226048,8.166639,42.377449,0.061563,14.045933,metal
14.409676,6.704044,41.028843,3.478934,15.447519,metal
14.249019,8.257296,45.661962,0.021015,14.345852,metal
14.668895,3.330135,26.245723,7.395130,9.966966,metal
14.593302,4.512364,34.226473,5.855622,14.805105,metal
14.656159,3.986221,30.616075,6.122541,10.512359,metal
14.666023,3.553146,32.726487,6.841639,12.473085,metal
14.603205,4.318569,35.070152,7.193685,13.264047,metal
14.611554,4.454499,34.096145,6.848984,10.562040,metal
14.469791,5.968448,37.629897,1.940030,13.903632,metal
14.475905,5.575375,39.223649,6.183484,14.982592,metal
14.615771,3.948241,36.541227,6.770890,12.732894,metal
14.626708,4.157147,33.892064,6.950506,12.776648,metal
14.618487,4.387812,35.561786,5.870991,15.331869,metal
14.560293,5.275459,39.866588,3.998736,17.157419,metal
14.583006,4.652827,34.896737,5.596400,13.207845,metal
14.638549,4.326046,32.185137,4.842908,12.595205,metal
14.550349,5.536258,40.490448,6.291808,15.590237,metal
14.481625,6.157466,38.373075,4.242536,13.679938,metal
14.538463,5.350217,33.346100,3.269772,13.183902,metal
14.547099,5.552973,37.422722,3.849697,14.156266,metal
14.226048,8.166639,42.377449,0.061563,14.045933,metal
14.409676,6.704044,41.028843,3.478934,15.447519,metal
14.249019,8.257296,45.661962,0.021015,14.345852,metal
14.310825,7.772702,43.512050,3.927082,19.214074,metal
14.279351,7.807591,39.986282,0.010961,14.761978,metal
14.655262,3.888380,26.942849,3.626463,8.237189,metal
13.490112,12.829004,58.454283,0.183002,26.312721,metal
14.157000,8.764573,41.916892,0.057827,19.169507,metal
14.656954,3.929755,26.326724,4.977731,8.684426,metal
14.623673,4.391080,32.398809,6.311931,9.389802,metal
14.532895,5.784568,36.529084,5.650188,12.307353,metal
14.299272,8.085027,45.716356,1.559642,13.586391,metal
13.972638,10.200280,60.310256,3.198236,28.469687,metal
14.605192,4.638466,30.392130,3.499573,10.884693,metal
