@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE class {pop,notpop}

@DATA
13.902204,10.485085,65.566027,0.293146,21.574007,pop
13.741041,11.351786,45.854972,0.124556,22.726813,pop
14.090590,9.308229,40.235378,0.728719,15.964727,pop
14.232503,8.642413,63.710096,1.653080,25.239589,pop
14.508704,6.255378,39.144866,2.954422,13.228344,pop
13.852150,10.457201,43.882911,0.044501,16.294083,pop
14.088154,9.841048,73.688841,0.279980,32.689215,pop
13.581029,12.852410,84.177872,0.224831,32.345878,pop
14.520073,5.657900,34.011215,2.183030,11.056829,pop
14.137708,8.933723,52.269009,0.353017,21.198193,pop
14.336448,7.534986,41.944828,0.805202,18.774695,pop
13.292459,14.953644,125.518728,0.982172,17.062256,pop
14.326258,7.554016,39.936605,0.825206,22.176188,pop
14.290618,8.253974,63.436906,2.905449,28.802683,pop
14.516582,5.547461,34.264076,2.697244,15.053062,pop
14.074471,9.441114,47.615841,0.268962,22.247045,pop
13.061561,15.155214,74.156844,0.135226,37.900597,pop
14.556489,5.554396,41.397262,2.013643,12.370017,pop
14.325941,7.519318,45.519383,1.013082,14.983939,pop
14.096162,9.241261,50.189172,1.287330,17.470151,pop
14.258241,8.194281,42.126550,0.204761,18.688675,pop
13.655345,11.750904,54.904238,0.027721,22.103527,pop
14.069128,9.447689,47.266436,0.181063,21.212178,pop
13.972123,9.853728,42.562977,0.298403,19.928974,pop
13.830151,11.022124,53.960074,0.143237,20.916220,pop
14.023227,9.802613,48.475924,0.004673,20.790680,pop
13.966101,10.345550,48.286779,0.322909,17.522595,pop
14.195512,8.597517,49.024359,0.910528,20.989613,pop
14.153196,8.810824,47.771016,0.334795,16.575014,pop
14.222985,8.407576,41.658461,0.406717,15.737768,pop
14.084870,9.590751,59.051696,0.232548,20.992632,pop
14.083347,9.598835,59.422902,0.217931,21.182973,pop
13.781687,11.416904,56.228562,0.052491,18.608674,pop
14.324142,7.267301,34.370970,0.002431,11.637002,pop
14.108408,8.951630,52.271178,0.158165,22.508231,pop
