@RELATION music_genre
@ATTRIBUTE TEMPO NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
123.046875,blues
67.999589,blues
161.499023,blues
63.024009,blues
135.999178,blues
69.837416,blues
71.777344,blues
92.285156,blues
83.354335,blues
80.749512,blues
161.499023,blues
161.499023,blues
184.570312,blues
107.666016,blues
151.999081,blues
99.384014,blues
198.768029,blues
172.265625,blues
83.354335,blues
123.046875,blues
135.999178,blues
99.384014,blues
95.703125,blues
184.570312,blues
103.359375,blues
92.285156,blues
83.354335,blues
92.285156,blues
103.359375,blues
129.199219,blues
151.999081,blues
151.999081,blues
143.554688,blues
151.999081,blues
184.570312,blues
129.199219,blues
151.999081,blues
123.046875,blues
86.132812,blues
117.453835,blues
172.265625,blues
129.199219,blues
89.102909,blues
129.199219,blues
135.999178,blues
129.199219,blues
123.046875,blues
151.999081,blues
123.046875,blues
123.046875,blues
135.999178,blues
99.384014,blues
151.999081,blues
103.359375,blues
89.102909,blues
135.999178,blues
161.499023,blues
92.285156,blues
107.666016,blues
107.666016,blues
151.999081,blues
129.199219,blues
112.347147,blues
92.285156,blues
78.302557,blues
107.666016,blues
161.499023,blues
161.499023,blues
161.499023,blues
78.302557,blues
143.554688,blues
73.828125,blues
103.359375,blues
99.384014,blues
112.347147,blues
117.453835,blues
117.453835,blues
99.384014,blues
123.046875,blues
78.302557,blues
117.453835,blues
103.359375,blues
123.046875,blues
135.999178,blues
112.347147,blues
143.554688,blues
123.046875,blues
172.265625,blues
172.265625,blues
107.666016,blues
95.703125,classical
112.347147,classical
99.384014,classical
71.777344,classical
161.499023,classical
143.554688,classical
99.384014,classical
215.332031,classical
135.999178,classical
234.90767,classical
103.359375,classical
151.999081,classical
95.703125,classical
129.199219,classical
143.554688,classical
83.354335,classical
99.384014,classical
89.102909,classical
161.499023,classical
95.703125,classical
143.554688,classical
135.999178,classical
107.666016,classical
95.703125,classical
151.999081,classical
129.199219,classical
161.499023,classical
135.999178,classical
161.499023,classical
135.999178,classical
117.453835,classical
112.347147,classical
103.359375,classical
143.554688,classical
123.046875,classical
151.999081,classical
107.666016,classical
161.499023,classical
151.999081,classical
161.499023,classical
117.453835,classical
123.046875,classical
198.768029,classical
129.199219,classical
80.749512,classical
184.570312,classical
129.199219,classical
123.046875,classical
172.265625,classical
103.359375,classical
107.666016,classical
135.999178,classical
161.499023,classical
215.332031,classical
95.703125,classical
78.302557,classical
95.703125,classical
107.666016,classical
143.554688,classical
117.453835,classical
123.046875,classical
151.999081,classical
89.102909,classical
95.703125,classical
89.102909,classical
123.046875,classical
135.999178,classical
143.554688,classical
83.354335,classical
69.837416,classical
161.499023,classical
143.554688,classical
117.453835,classical
129.199219,classical
161.499023,classical
117.453835,classical
172.265625,classical
161.499023,classical
67.999589,classical
143.554688,classical
143.554688,classical
151.999081,classical
117.453835,classical
117.453835,classical
112.347147,classical
107.666016,classical
99.384014,classical
123.046875,classical
103.359375,classical
99.384014,classical
86.132812,country
129.199219,country
83.354335,country
161.499023,country
117.453835,country
129.199219,country
112.347147,country
103.359375,country
66.25601,country
95.703125,country
80.749512,country
112.347147,country
89.102909,country
129.199219,country
135.999178,country
151.999081,country
107.666016,country
89.102909,country
86.132812,country
83.354335,country
103.359375,country
107.666016,country
184.570312,country
83.354335,country
129.199219,country
73.828125,country
107.666016,country
92.285156,country
89.102909,country
89.102909,country
161.499023,country
112.347147,country
99.384014,country
92.285156,country
135.999178,country
99.384014,country
112.347147,country
99.384014,country
151.999081,country
123.046875,country
143.554688,country
129.199219,country
103.359375,country
135.999178,country
78.302557,country
78.302557,country
78.302557,country
151.999081,country
117.453835,country
112.347147,country
117.453835,country
64.599609,country
71.777344,country
89.102909,country
75.99954,country
129.199219,country
80.749512,country
67.999589,country
112.347147,country
135.999178,country
69.837416,country
60.09266,country
172.265625,country
83.354335,country
66.25601,country
123.046875,country
112.347147,country
64.599609,country
172.265625,country
112.347147,country
112.347147,country
143.554688,country
151.999081,country
151.999081,country
135.999178,country
95.703125,country
143.554688,country
184.570312,country
66.25601,country
80.749512,country
99.384014,country
89.102909,country
117.453835,country
143.554688,country
86.132812,country
73.828125,country
117.453835,country
143.554688,country
103.359375,country
143.554688,country
117.453835,disco
117.453835,disco
92.285156,disco
129.199219,disco
123.046875,disco
107.666016,disco
123.046875,disco
129.199219,disco
123.046875,disco
129.199219,disco
107.666016,disco
95.703125,disco
112.347147,disco
184.570312,disco
103.359375,disco
123.046875,disco
123.046875,disco
123.046875,disco
123.046875,disco
117.453835,disco
161.499023,disco
107.666016,disco
123.046875,disco
112.347147,disco
129.199219,disco
123.046875,disco
117.453835,disco
112.347147,disco
123.046875,disco
103.359375,disco
135.999178,disco
123.046875,disco
112.347147,disco
129.199219,disco
129.199219,disco
123.046875,disco
135.999178,disco
129.199219,disco
123.046875,disco
112.347147,disco
135.999178,disco
161.499023,disco
103.359375,disco
129.199219,disco
123.046875,disco
123.046875,disco
123.046875,disco
123.046875,disco
99.384014,disco
123.046875,disco
107.666016,disco
107.666016,disco
123.046875,disco
135.999178,disco
112.347147,disco
129.199219,disco
89.102909,disco
117.453835,disco
129.199219,disco
123.046875,disco
129.199219,disco
123.046875,disco
107.666016,disco
129.199219,disco
123.046875,disco
129.199219,disco
135.999178,disco
99.384014,disco
107.666016,disco
107.666016,disco
107.666016,disco
112.347147,disco
135.999178,disco
112.347147,disco
112.347147,disco
135.999178,disco
129.199219,disco
117.453835,disco
129.199219,disco
123.046875,disco
99.384014,disco
86.132812,disco
123.046875,disco
117.453835,disco
112.347147,disco
123.046875,disco
123.046875,disco
107.666016,disco
123.046875,disco
129.199219,disco
117.453835,hiphop
92.285156,hiphop
99.384014,hiphop
92.285156,hiphop
95.703125,hiphop
71.777344,hiphop
99.384014,hiphop
123.046875,hiphop
172.265625,hiphop
103.359375,hiphop
95.703125,hiphop
135.999178,hiphop
99.384014,hiphop
103.359375,hiphop
135.999178,hiphop
198.768029,hiphop
99.384014,hiphop
99.384014,hiphop
143.554688,hiphop
99.384014,hiphop
117.453835,hiphop
99.384014,hiphop
99.384014,hiphop
92.285156,hiphop
103.359375,hiphop
107.666016,hiphop
103.359375,hiphop
92.285156,hiphop
92.285156,hiphop
123.046875,hiphop
89.102909,hiphop
99.384014,hiphop
99.384014,hiphop
198.768029,hiphop
198.768029,hiphop
143.554688,hiphop
117.453835,hiphop
143.554688,hiphop
184.570312,hiphop
184.570312,hiphop
80.749512,hiphop
92.285156,hiphop
92.285156,hiphop
89.102909,hiphop
117.453835,hiphop
184.570312,hiphop
95.703125,hiphop
95.703125,hiphop
95.703125,hiphop
129.199219,hiphop
99.384014,hiphop
103.359375,hiphop
103.359375,hiphop
107.666016,hiphop
112.347147,hiphop
107.666016,hiphop
99.384014,hiphop
89.102909,hiphop
172.265625,hiphop
92.285156,hiphop
184.570312,hiphop
184.570312,hiphop
92.285156,hiphop
92.285156,hiphop
86.132812,hiphop
95.703125,hiphop
92.285156,hiphop
95.703125,hiphop
95.703125,hiphop
129.199219,hiphop
95.703125,hiphop
95.703125,hiphop
99.384014,hiphop
92.285156,hiphop
99.384014,hiphop
92.285156,hiphop
95.703125,hiphop
117.453835,hiphop
95.703125,hiphop
103.359375,hiphop
95.703125,hiphop
103.359375,hiphop
107.666016,hiphop
103.359375,hiphop
112.347147,hiphop
112.347147,hiphop
99.384014,hiphop
135.999178,hiphop
117.453835,hiphop
123.046875,hiphop
123.046875,jazz
135.999178,jazz
151.999081,jazz
92.285156,jazz
64.599609,jazz
107.666016,jazz
135.999178,jazz
61.523438,jazz
107.666016,jazz
107.666016,jazz
112.347147,jazz
99.384014,jazz
112.347147,jazz
99.384014,jazz
129.199219,jazz
117.453835,jazz
73.828125,jazz
215.332031,jazz
103.359375,jazz
184.570312,jazz
107.666016,jazz
123.046875,jazz
129.199219,jazz
86.132812,jazz
103.359375,jazz
103.359375,jazz
151.999081,jazz
143.554688,jazz
99.384014,jazz
112.347147,jazz
215.332031,jazz
112.347147,jazz
129.199219,jazz
95.703125,jazz
95.703125,jazz
71.777344,jazz
123.046875,jazz
95.703125,jazz
151.999081,jazz
99.384014,jazz
99.384014,jazz
95.703125,jazz
73.828125,jazz
151.999081,jazz
103.359375,jazz
73.828125,jazz
107.666016,jazz
69.837416,jazz
129.199219,jazz
184.570312,jazz
151.999081,jazz
95.703125,jazz
107.666016,jazz
95.703125,jazz
161.499023,jazz
71.777344,jazz
123.046875,jazz
95.703125,jazz
123.046875,jazz
107.666016,jazz
95.703125,jazz
172.265625,jazz
151.999081,jazz
123.046875,jazz
99.384014,jazz
99.384014,jazz
129.199219,jazz
99.384014,jazz
73.828125,jazz
151.999081,jazz
103.359375,jazz
151.999081,jazz
107.666016,jazz
112.347147,jazz
83.354335,jazz
103.359375,jazz
117.453835,jazz
184.570312,jazz
80.749512,jazz
107.666016,jazz
135.999178,jazz
117.453835,jazz
99.384014,jazz
107.666016,jazz
123.046875,jazz
80.749512,jazz
135.999178,jazz
135.999178,jazz
129.199219,jazz
54.978391,jazz
95.703125,metal
151.999081,metal
112.347147,metal
99.384014,metal
135.999178,metal
151.999081,metal
123.046875,metal
151.999081,metal
117.453835,metal
112.347147,metal
184.570312,metal
161.499023,metal
172.265625,metal
135.999178,metal
151.999081,metal
172.265625,metal
92.285156,metal
107.666016,metal
99.384014,metal
112.347147,metal
99.384014,metal
107.666016,metal
135.999178,metal
143.554688,metal
112.347147,metal
135.999178,metal
129.199219,metal
129.199219,metal
135.999178,metal
123.046875,metal
129.199219,metal
135.999178,metal
117.453835,metal
123.046875,metal
161.499023,metal
117.453835,metal
143.554688,metal
135.999178,metal
95.703125,metal
117.453835,metal
107.666016,metal
117.453835,metal
129.199219,metal
95.703125,metal
117.453835,metal
61.523438,metal
117.453835,metal
103.359375,metal
107.666016,metal
99.384014,metal
112.347147,metal
107.666016,metal
161.499023,metal
123.046875,metal
123.046875,metal
172.265625,metal
107.666016,metal
129.199219,metal
143.554688,metal
99.384014,metal
89.102909,metal
107.666016,metal
117.453835,metal
129.199219,metal
95.703125,metal
117.453835,metal
61.523438,metal
135.999178,metal
161.499023,metal
161.499023,metal
117.453835,metal
86.132812,metal
123.046875,metal
143.554688,metal
123.046875,metal
112.347147,metal
143.554688,metal
151.999081,metal
99.384014,metal
123.046875,metal
161.499023,metal
151.999081,metal
123.046875,metal
117.453835,metal
151.999081,metal
