@RELATION music_genre
@ATTRIBUTE TEMPO NUMERIC
@ATTRIBUTE AVG_BEAT_FRAME_DIFF NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
123.046875,20.666667,blues
67.999589,37.69697,blues
161.499023,16.342105,blues
63.024009,41.407407,blues
135.999178,19.4,blues
69.837416,37.666667,blues
71.777344,35.514286,blues
92.285156,27.795455,blues
83.354335,30.794872,blues
80.749512,31.564103,blues
161.499023,16.128205,blues
161.499023,15.475,blues
184.570312,13.855556,blues
107.666016,24.176471,blues
151.999081,16.434783,blues
99.384014,26.041667,blues
198.768029,12.968421,blues
172.265625,15.3,blues
83.354335,31.358974,blues
123.046875,21.078431,blues
135.999178,18.80303,blues
99.384014,25.604167,blues
95.703125,26.302326,blues
184.570312,13.505495,blues
103.359375,24.76,blues
92.285156,27.977273,blues
83.354335,31.157895,blues
92.285156,27.022727,blues
103.359375,25.106383,blues
129.199219,20.04918,blues
151.999081,17.242857,blues
151.999081,16.621622,blues
143.554688,18.072464,blues
151.999081,16.716216,blues
184.570312,13.835165,blues
129.199219,19.966667,blues
151.999081,17.081081,blues
123.046875,21.943396,blues
86.132812,30.486486,blues
117.453835,22.190476,blues
172.265625,15.0,blues
129.199219,20.262295,blues
89.102909,28.928571,blues
129.199219,19.968254,blues
135.999178,19.092308,blues
129.199219,19.609375,blues
123.046875,21.20339,blues
151.999081,17.09375,blues
123.046875,21.333333,blues
123.046875,20.827586,blues
135.999178,18.870968,blues
99.384014,26.145833,blues
151.999081,17.277778,blues
103.359375,25.591837,blues
89.102909,28.581395,blues
135.999178,19.387097,blues
161.499023,16.164384,blues
92.285156,27.5,blues
107.666016,24.44,blues
107.666016,23.924528,blues
151.999081,17.287671,blues
129.199219,19.548387,blues
112.347147,22.907407,blues
92.285156,28.390244,blues
78.302557,33.277778,blues
107.666016,23.921569,blues
161.499023,15.78481,blues
161.499023,16.051948,blues
161.499023,15.924051,blues
78.302557,32.657895,blues
143.554688,17.535211,blues
73.828125,35.117647,blues
103.359375,25.122449,blues
99.384014,26.553191,blues
112.347147,23.45283,blues
117.453835,21.929825,blues
117.453835,22.203704,blues
99.384014,26.090909,blues
123.046875,21.310345,blues
78.302557,32.918919,blues
117.453835,22.09434,blues
103.359375,25.040816,blues
123.046875,20.616667,blues
135.999178,19.369231,blues
112.347147,23.148148,blues
143.554688,18.028571,blues
123.046875,21.152542,blues
172.265625,14.717949,blues
172.265625,15.170732,blues
107.666016,23.34,blues
95.703125,27.363636,classical
112.347147,22.763636,classical
99.384014,26.104167,classical
71.777344,36.862069,classical
161.499023,15.987342,classical
143.554688,18.169231,classical
99.384014,26.195652,classical
215.332031,12.057143,classical
135.999178,19.015152,classical
234.90767,11.0,classical
103.359375,24.979592,classical
151.999081,17.035714,classical
95.703125,27.257143,classical
129.199219,20.711864,classical
143.554688,17.830769,classical
83.354335,31.25,classical
99.384014,26.176471,classical
89.102909,29.214286,classical
161.499023,16.230769,classical
95.703125,27.021739,classical
143.554688,18.441176,classical
135.999178,19.121212,classical
107.666016,23.512821,classical
95.703125,27.928571,classical
151.999081,17.027027,classical
129.199219,19.578125,classical
161.499023,16.102564,classical
135.999178,18.746269,classical
161.499023,16.106667,classical
135.999178,18.719298,classical
117.453835,22.153846,classical
112.347147,23.08,classical
103.359375,24.87234,classical
143.554688,17.703704,classical
123.046875,21.107143,classical
151.999081,17.164384,classical
107.666016,24.234043,classical
161.499023,16.078125,classical
151.999081,17.241379,classical
161.499023,15.972222,classical
117.453835,22.270833,classical
123.046875,20.851852,classical
198.768029,13.4,classical
129.199219,19.777778,classical
80.749512,32.236842,classical
184.570312,13.670588,classical
129.199219,19.638889,classical
123.046875,20.491803,classical
172.265625,14.905882,classical
103.359375,24.134615,classical
107.666016,23.769231,classical
135.999178,18.794872,classical
161.499023,16.438356,classical
215.332031,12.06383,classical
95.703125,26.978261,classical
78.302557,31.871795,classical
95.703125,27.738095,classical
107.666016,24.046512,classical
143.554688,17.690141,classical
117.453835,22.290909,classical
123.046875,21.303571,classical
151.999081,16.813333,classical
89.102909,28.588235,classical
95.703125,26.577778,classical
89.102909,28.129032,classical
123.046875,21.0,classical
135.999178,18.910448,classical
143.554688,17.380952,classical
83.354335,31.179487,classical
69.837416,36.709677,classical
161.499023,16.173333,classical
143.554688,18.058824,classical
117.453835,22.035714,classical
129.199219,19.945455,classical
161.499023,16.076923,classical
117.453835,22.673913,classical
172.265625,15.060241,classical
161.499023,15.946667,classical
67.999589,38.695652,classical
143.554688,18.098361,classical
143.554688,18.235294,classical
151.999081,17.265625,classical
117.453835,23.058824,classical
117.453835,21.755556,classical
112.347147,23.208333,classical
107.666016,23.882353,classical
99.384014,26.065217,classical
123.046875,21.509804,classical
103.359375,24.727273,classical
99.384014,26.181818,classical
86.132812,30.0,country
129.199219,20.032258,country
83.354335,31.513514,country
161.499023,16.144737,country
117.453835,21.962264,country
129.199219,19.822581,country
112.347147,23.185185,country
103.359375,25.081633,country
66.25601,39.0,country
95.703125,26.695652,country
80.749512,32.27027,country
112.347147,22.722222,country
89.102909,29.404762,country
129.199219,20.322581,country
135.999178,18.835821,country
151.999081,17.486111,country
107.666016,24.26,country
89.102909,29.457143,country
86.132812,30.073171,country
83.354335,30.25641,country
103.359375,24.979592,country
107.666016,23.77551,country
184.570312,13.977273,country
83.354335,31.333333,country
129.199219,20.131148,country
73.828125,36.090909,country
107.666016,23.98,country
92.285156,27.755556,country
89.102909,28.72093,country
89.102909,28.511628,country
161.499023,16.337838,country
112.347147,23.392157,country
99.384014,26.404255,country
92.285156,28.44186,country
135.999178,18.984848,country
99.384014,26.104167,country
112.347147,22.836364,country
99.384014,26.382979,country
151.999081,16.626667,country
123.046875,21.254237,country
143.554688,18.447761,country
129.199219,19.79661,country
103.359375,25.244898,country
135.999178,18.656716,country
78.302557,32.861111,country
78.302557,33.054054,country
78.302557,32.815789,country
151.999081,17.273973,country
117.453835,21.859649,country
112.347147,22.654545,country
117.453835,21.894737,country
64.599609,39.740741,country
71.777344,36.235294,country
89.102909,28.595238,country
75.99954,34.2,country
129.199219,19.59375,country
80.749512,31.589744,country
67.999589,38.03125,country
112.347147,22.777778,country
135.999178,18.873016,country
69.837416,36.969697,country
60.09266,42.689655,country
172.265625,14.674419,country
83.354335,30.756757,country
66.25601,39.032258,country
123.046875,20.813559,country
112.347147,23.509804,country
64.599609,40.466667,country
172.265625,15.25,country
112.347147,22.814815,country
112.347147,23.396226,country
143.554688,17.927536,country
151.999081,17.257143,country
151.999081,17.071429,country
135.999178,19.030769,country
95.703125,26.840909,country
143.554688,17.791045,country
184.570312,14.122222,country
66.25601,38.3,country
80.749512,31.756757,country
99.384014,26.488889,country
89.102909,28.682927,country
117.453835,22.089286,country
143.554688,17.685714,country
86.132812,29.8,country
73.828125,35.181818,country
117.453835,21.666667,country
143.554688,17.871429,country
103.359375,24.509804,country
143.554688,17.681159,country
117.453835,22.472727,disco
117.453835,22.107143,disco
92.285156,27.904762,disco
129.199219,20.42623,disco
123.046875,21.362069,disco
107.666016,23.865385,disco
123.046875,20.85,disco
129.199219,19.983333,disco
123.046875,21.267857,disco
129.199219,20.016129,disco
107.666016,24.156863,disco
95.703125,27.173913,disco
112.347147,23.0,disco
184.570312,14.448276,disco
103.359375,24.94,disco
123.046875,21.288136,disco
123.046875,21.084746,disco
123.046875,20.912281,disco
123.046875,20.847458,disco
117.453835,22.236364,disco
161.499023,16.153846,disco
107.666016,23.545455,disco
123.046875,21.491228,disco
112.347147,22.574074,disco
129.199219,20.193548,disco
123.046875,20.816667,disco
117.453835,21.631579,disco
112.347147,23.222222,disco
123.046875,21.20339,disco
103.359375,24.607843,disco
135.999178,18.967213,disco
123.046875,20.881356,disco
112.347147,23.471698,disco
129.199219,20.0,disco
129.199219,19.83871,disco
123.046875,21.275862,disco
135.999178,19.015152,disco
129.199219,19.809524,disco
123.046875,20.965517,disco
112.347147,23.377358,disco
135.999178,18.716418,disco
161.499023,16.210526,disco
103.359375,24.58,disco
129.199219,20.225806,disco
123.046875,20.965517,disco
123.046875,21.0,disco
123.046875,21.448276,disco
123.046875,20.896552,disco
99.384014,25.489796,disco
123.046875,21.637931,disco
107.666016,23.596154,disco
107.666016,23.588235,disco
123.046875,20.54386,disco
135.999178,18.564516,disco
112.347147,22.592593,disco
129.199219,19.888889,disco
89.102909,29.309524,disco
117.453835,21.836364,disco
129.199219,19.650794,disco
123.046875,20.655738,disco
129.199219,19.935484,disco
123.046875,20.540984,disco
107.666016,23.653846,disco
129.199219,19.793651,disco
123.046875,21.050847,disco
129.199219,19.609375,disco
135.999178,19.390625,disco
99.384014,25.711111,disco
107.666016,24.176471,disco
107.666016,24.019608,disco
107.666016,23.603774,disco
112.347147,22.690909,disco
135.999178,18.893939,disco
112.347147,22.690909,disco
112.347147,23.055556,disco
135.999178,19.507692,disco
129.199219,20.306452,disco
117.453835,22.0,disco
129.199219,20.086957,disco
123.046875,21.338983,disco
99.384014,26.361702,disco
86.132812,30.128205,disco
123.046875,21.0,disco
117.453835,22.111111,disco
112.347147,22.545455,disco
123.046875,20.9,disco
123.046875,20.639344,disco
107.666016,24.42,disco
123.046875,20.8,disco
129.199219,19.888889,disco
117.453835,21.666667,hiphop
92.285156,28.325581,hiphop
99.384014,26.0,hiphop
92.285156,27.767442,hiphop
95.703125,26.695652,hiphop
71.777344,36.515152,hiphop
99.384014,25.854167,hiphop
123.046875,21.362069,hiphop
172.265625,15.358025,hiphop
103.359375,25.0625,hiphop
95.703125,26.782609,hiphop
135.999178,19.092308,hiphop
99.384014,26.363636,hiphop
103.359375,24.958333,hiphop
135.999178,19.338462,hiphop
198.768029,13.052632,hiphop
99.384014,25.583333,hiphop
99.384014,26.413043,hiphop
143.554688,17.926471,hiphop
99.384014,25.625,hiphop
117.453835,22.203704,hiphop
99.384014,25.574468,hiphop
99.384014,25.583333,hiphop
92.285156,27.688889,hiphop
103.359375,25.354167,hiphop
107.666016,24.44898,hiphop
103.359375,25.244898,hiphop
92.285156,28.348837,hiphop
92.285156,29.0,hiphop
123.046875,21.155172,hiphop
89.102909,28.857143,hiphop
99.384014,25.8125,hiphop
99.384014,25.708333,hiphop
198.768029,13.282609,hiphop
198.768029,13.0625,hiphop
143.554688,17.830986,hiphop
117.453835,21.842105,hiphop
143.554688,17.946429,hiphop
184.570312,14.084337,hiphop
184.570312,13.602151,hiphop
80.749512,32.305556,hiphop
92.285156,27.931818,hiphop
92.285156,28.333333,hiphop
89.102909,28.785714,hiphop
117.453835,22.036364,hiphop
184.570312,13.602151,hiphop
95.703125,26.869565,hiphop
95.703125,26.622222,hiphop
95.703125,26.73913,hiphop
129.199219,19.983871,hiphop
99.384014,26.319149,hiphop
103.359375,24.68,hiphop
103.359375,24.588235,hiphop
107.666016,23.980769,hiphop
112.347147,23.018868,hiphop
107.666016,24.44,hiphop
99.384014,25.617021,hiphop
89.102909,30.815789,hiphop
172.265625,14.247059,hiphop
92.285156,28.045455,hiphop
184.570312,14.287356,hiphop
184.570312,13.89011,hiphop
92.285156,28.069767,hiphop
92.285156,27.477273,hiphop
86.132812,29.97561,hiphop
95.703125,26.891304,hiphop
92.285156,28.113636,hiphop
95.703125,26.608696,hiphop
95.703125,26.73913,hiphop
129.199219,20.433333,hiphop
95.703125,26.869565,hiphop
95.703125,27.044444,hiphop
99.384014,26.382979,hiphop
92.285156,27.954545,hiphop
99.384014,25.869565,hiphop
92.285156,28.204545,hiphop
95.703125,26.680851,hiphop
117.453835,22.2,hiphop
95.703125,26.680851,hiphop
103.359375,24.72,hiphop
95.703125,27.021739,hiphop
103.359375,25.333333,hiphop
107.666016,24.509804,hiphop
103.359375,24.96,hiphop
112.347147,22.777778,hiphop
112.347147,23.377358,hiphop
99.384014,26.152174,hiphop
135.999178,19.136364,hiphop
117.453835,22.290909,hiphop
123.046875,20.47541,hiphop
123.046875,20.344262,jazz
135.999178,18.721311,jazz
151.999081,17.150685,jazz
92.285156,28.0,jazz
64.599609,41.296296,jazz
107.666016,23.882353,jazz
135.999178,19.333333,jazz
61.523438,42.148148,jazz
107.666016,23.788462,jazz
107.666016,23.019231,jazz
112.347147,22.630435,jazz
99.384014,25.608696,jazz
112.347147,22.944444,jazz
99.384014,26.021739,jazz
129.199219,20.0,jazz
117.453835,21.981818,jazz
73.828125,36.147059,jazz
215.332031,12.192308,jazz
103.359375,24.74,jazz
184.570312,14.193182,jazz
107.666016,24.372549,jazz
123.046875,21.035088,jazz
129.199219,20.126984,jazz
86.132812,30.341463,jazz
103.359375,24.55102,jazz
103.359375,25.704545,jazz
151.999081,17.1,jazz
143.554688,18.343284,jazz
99.384014,25.978261,jazz
112.347147,23.196078,jazz
215.332031,11.980198,jazz
112.347147,22.622642,jazz
129.199219,20.04918,jazz
95.703125,27.311111,jazz
95.703125,26.73913,jazz
71.777344,36.588235,jazz
123.046875,20.586207,jazz
95.703125,26.574468,jazz
151.999081,17.362319,jazz
99.384014,26.108696,jazz
99.384014,25.541667,jazz
95.703125,27.116279,jazz
73.828125,35.228571,jazz
151.999081,16.956522,jazz
103.359375,24.92,jazz
73.828125,33.828571,jazz
107.666016,24.0,jazz
69.837416,36.0625,jazz
