@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE TEMPO NUMERIC
@ATTRIBUTE AVG_BEAT_FRAME_DIFF NUMERIC
@ATTRIBUTE AVG_ZCR NUMERIC
@ATTRIBUTE AVG_HARMONIC NUMERIC
@ATTRIBUTE AVG_PERCUSSIVE NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
34.31229,25.939552,128.668289,1.854118,46.780351,123.046875,20.736842,0.080111,-4.6e-05,-1e-06,blues
33.839788,27.299085,163.234585,0.108457,61.088547,67.999589,37.7,0.055211,0.000114,-0.000146,blues
35.544561,16.884839,89.487257,3.191087,27.548498,161.499023,16.521739,0.070182,6e-06,-1e-06,blues
33.087515,30.569537,141.856521,0.46271,45.730759,63.024009,41.714286,0.030092,6e-06,6e-06,blues
33.294756,30.066129,171.924818,0.600137,52.753037,135.999178,19.157895,0.116385,-3.9e-05,8e-06,blues
32.242692,35.008606,189.590624,0.082259,74.203727,67.999589,38.333333,0.096216,1.5e-05,-2.7e-05,blues
31.042551,38.4886,250.893844,0.248983,68.220861,69.837416,36.5,0.055076,-2e-06,-3.4e-05,blues
33.024596,31.188245,152.933344,0.433357,73.483382,92.285156,28.636364,0.056028,6e-06,-4e-05,blues
35.696024,16.421648,89.493882,8.673656,33.186294,83.354335,30.909091,0.068433,2e-06,-2.6e-05,blues
31.904414,35.83608,190.54088,0.359987,41.232024,83.354335,30.272727,0.082615,4e-06,-1.5e-05,blues
33.15392,29.470896,105.893876,0.03266,45.399103,161.499023,16.363636,0.067351,-9.9e-05,9.7e-05,blues
31.418486,36.717522,171.37289,0.150322,74.125666,161.499023,15.565217,0.043534,-8e-06,-1.1e-05,blues
33.401644,29.63274,131.18003,1.109204,47.895728,172.265625,14.136364,0.078847,1e-06,-6.9e-05,blues
33.376469,27.401591,137.524429,2.945586,50.343065,107.666016,24.266667,0.048718,2e-06,-5.6e-05,blues
29.167793,41.719299,317.87658,1.767354,152.16716,151.999081,16.947368,0.039089,-2.6e-05,-9e-05,blues
31.933703,35.908004,213.57159,1.090264,63.740527,99.384014,26.25,0.07068,-2.5e-05,-0.000156,blues
32.662098,28.598393,140.851177,1.513565,47.706708,198.768029,13.166667,0.06602,-2.3e-05,-0.000157,blues
33.972583,26.557212,158.310431,2.353074,67.718844,172.265625,15.074074,0.050082,-7e-06,-8.2e-05,blues
33.391236,29.754049,132.885751,2.033855,57.485348,198.768029,12.677419,0.060012,-2.9e-05,-0.000148,blues
33.43321,28.696741,151.525222,2.45735,50.825604,123.046875,21.666667,0.052773,-2.9e-05,-0.000182,blues
33.089054,30.841136,197.078985,2.540374,96.501209,89.102909,29.3,0.050467,-1e-05,-0.0001,blues
32.406965,34.336231,172.389855,2.652357,52.308654,99.384014,25.466667,0.050639,-2.2e-05,-0.000113,blues
33.268194,30.087704,178.709728,1.41159,79.637289,95.703125,27.0,0.048423,-3.5e-05,-0.000146,blues
33.417092,29.356259,116.219399,0.943286,47.281738,184.570312,13.347826,0.056508,-3.5e-05,-0.000113,blues
33.3271,30.582952,147.583131,0.589201,55.517594,103.359375,25.466667,0.049255,1.9e-05,2.9e-05,blues
31.89709,35.737205,252.033868,2.110507,109.600458,184.570312,14.115385,0.043805,-3.2e-05,3.9e-05,blues
32.707671,32.114245,148.172343,1.422808,55.173683,83.354335,31.1,0.051682,1.3e-05,8.3e-05,blues
33.944136,26.8913,141.348761,1.860253,54.041889,95.703125,27.6,0.067797,-1.6e-05,-3.7e-05,blues
30.966174,37.732922,169.840317,0.749478,58.522246,103.359375,25.0,0.051018,1e-06,-9e-06,blues
32.734061,31.453675,153.340354,0.125031,46.412675,129.199219,20.0,0.048436,5e-06,2e-06,blues
35.1523,20.628836,113.645715,4.174593,45.471397,143.554688,17.818182,0.044627,2e-06,2e-06,blues
34.50428,25.175293,124.158417,3.567175,35.515895,151.999081,16.409091,0.043057,-2e-06,-2e-06,blues
33.679733,28.192055,151.787679,0.371268,35.069524,112.347147,22.25,0.02893,2e-06,-7e-06,blues
34.960706,20.311413,122.89371,7.509514,51.14118,107.666016,24.75,0.040211,-6e-06,-1.3e-05,blues
34.49247,23.771016,121.994008,0.620627,41.53044,129.199219,20.421053,0.042853,2e-06,-4e-06,blues
35.310947,18.897511,88.526545,2.468909,27.99035,129.199219,20.105263,0.048312,-1.2e-05,9e-06,blues
35.383654,19.501082,114.448547,1.700452,46.414566,117.453835,21.941176,0.037073,6e-06,-7e-06,blues
29.941242,38.181331,203.54445,0.193437,101.690104,75.99954,34.454545,0.052636,-2.5e-05,4e-06,blues
34.858079,22.757464,135.479852,2.088236,40.962465,89.102909,27.928571,0.044091,1.5e-05,4.8e-05,blues
33.605075,29.255548,243.74768,1.070968,108.44292,117.453835,22.058824,0.030944,3e-06,-5e-06,blues
35.877437,14.410762,81.322533,13.268172,31.124875,117.453835,22.466667,0.103377,-0.00243,-0.004239,blues
35.887393,15.601428,94.597589,11.036836,32.872724,123.046875,20.473684,0.10326,-0.002238,-0.004553,blues
36.021525,13.634965,90.478426,12.695033,35.54925,172.265625,14.535714,0.111869,-0.002592,-0.004198,blues
35.515119,18.761613,104.0517,10.814966,36.285039,129.199219,20.052632,0.08613,-0.002564,-0.003911,blues
36.162644,11.666728,81.425716,11.8906,29.82577,135.999178,19.052632,0.083641,-0.002095,-0.004744,blues
36.010455,12.374176,75.830532,13.257433,27.977652,129.199219,19.6,0.046806,-0.002124,-0.004772,blues
35.502057,17.421592,102.648949,4.638131,39.294287,123.046875,21.066667,0.052123,-0.003014,-0.003294,blues
36.244971,11.76062,110.563489,14.039349,36.894992,143.554688,16.818182,0.074572,-0.003303,-0.003451,blues
35.652721,15.414353,79.765087,9.902697,26.709223,117.453835,21.588235,0.098745,-0.002942,-0.00374,blues
35.945394,13.107617,103.847736,7.107839,24.879669,129.199219,20.647059,0.046136,-0.004768,-0.001598,blues
34.616949,21.428755,100.826321,3.264157,39.962614,135.999178,19.1,0.088987,-4e-06,-7.3e-05,blues
36.108177,13.261194,80.112331,10.526034,34.016323,99.384014,26.266667,0.10635,1.8e-05,-6e-05,blues
32.754082,32.065591,193.839305,0.112222,98.666464,75.99954,34.7,0.068321,-6e-06,-3.8e-05,blues
34.627808,21.636046,99.149629,1.482365,45.580701,99.384014,25.6,0.131455,3e-06,-3.9e-05,blues
35.670534,16.873347,85.814086,6.667703,32.964658,89.102909,28.357143,0.096903,7e-06,-1.9e-05,blues
34.867634,21.222753,106.968933,2.233497,41.093235,129.199219,19.421053,0.146517,-1.6e-05,2.3e-05,blues
34.293509,24.110767,155.409652,0.943509,72.845414,161.499023,16.15,0.0676,-2e-06,-4.2e-05,blues
35.115898,19.906881,107.116629,3.804491,46.929968,92.285156,27.833333,0.090452,-2.5e-05,-6.9e-05,blues
34.726613,22.470752,106.30466,0.836143,42.399472,107.666016,24.466667,0.124335,1.7e-05,-2.1e-05,blues
34.344659,23.476078,114.072044,1.953164,54.921188,107.666016,23.9375,0.160464,1.1e-05,-6.8e-05,blues
35.316463,18.342389,97.439401,5.948876,32.138796,151.999081,17.272727,0.117935,-2.2e-05,-7.6e-05,blues
36.157171,12.205927,70.050021,12.614642,24.863584,129.199219,19.75,0.160409,-0.00023,-0.002039,blues
35.990229,15.263392,75.195565,5.139084,28.416716,112.347147,22.8125,0.118737,7e-06,5.7e-05,blues
