@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE MEAN_MFCC_0 NUMERIC
@ATTRIBUTE MEAN_MFCC_1 NUMERIC
@ATTRIBUTE MEAN_MFCC_2 NUMERIC
@ATTRIBUTE MEAN_MFCC_3 NUMERIC
@ATTRIBUTE MEAN_MFCC_4 NUMERIC
@ATTRIBUTE MEAN_MFCC_5 NUMERIC
@ATTRIBUTE MEAN_MFCC_6 NUMERIC
@ATTRIBUTE MEAN_MFCC_7 NUMERIC
@ATTRIBUTE MEAN_MFCC_8 NUMERIC
@ATTRIBUTE MEAN_MFCC_9 NUMERIC
@ATTRIBUTE MEAN_MFCC_10 NUMERIC
@ATTRIBUTE MEAN_MFCC_11 NUMERIC
@ATTRIBUTE MEAN_MFCC_12 NUMERIC
@ATTRIBUTE MEAN_MFCC_13 NUMERIC
@ATTRIBUTE MEAN_MFCC_14 NUMERIC
@ATTRIBUTE MEAN_MFCC_15 NUMERIC
@ATTRIBUTE MEAN_MFCC_16 NUMERIC
@ATTRIBUTE MEAN_MFCC_17 NUMERIC
@ATTRIBUTE MEAN_MFCC_18 NUMERIC
@ATTRIBUTE MEAN_MFCC_19 NUMERIC
@ATTRIBUTE MEAN_MFCC_20 NUMERIC
@ATTRIBUTE MEAN_MFCC_21 NUMERIC
@ATTRIBUTE MEAN_MFCC_22 NUMERIC
@ATTRIBUTE MEAN_MFCC_23 NUMERIC
@ATTRIBUTE MEAN_MFCC_24 NUMERIC
@ATTRIBUTE MEAN_MFCC_25 NUMERIC
@ATTRIBUTE STD_MFCC_0 NUMERIC
@ATTRIBUTE STD_MFCC_1 NUMERIC
@ATTRIBUTE STD_MFCC_2 NUMERIC
@ATTRIBUTE STD_MFCC_3 NUMERIC
@ATTRIBUTE STD_MFCC_4 NUMERIC
@ATTRIBUTE STD_MFCC_5 NUMERIC
@ATTRIBUTE STD_MFCC_6 NUMERIC
@ATTRIBUTE STD_MFCC_7 NUMERIC
@ATTRIBUTE STD_MFCC_8 NUMERIC
@ATTRIBUTE STD_MFCC_9 NUMERIC
@ATTRIBUTE STD_MFCC_10 NUMERIC
@ATTRIBUTE STD_MFCC_11 NUMERIC
@ATTRIBUTE STD_MFCC_12 NUMERIC
@ATTRIBUTE STD_MFCC_13 NUMERIC
@ATTRIBUTE STD_MFCC_14 NUMERIC
@ATTRIBUTE STD_MFCC_15 NUMERIC
@ATTRIBUTE STD_MFCC_16 NUMERIC
@ATTRIBUTE STD_MFCC_17 NUMERIC
@ATTRIBUTE STD_MFCC_18 NUMERIC
@ATTRIBUTE STD_MFCC_19 NUMERIC
@ATTRIBUTE STD_MFCC_20 NUMERIC
@ATTRIBUTE STD_MFCC_21 NUMERIC
@ATTRIBUTE STD_MFCC_22 NUMERIC
@ATTRIBUTE STD_MFCC_23 NUMERIC
@ATTRIBUTE STD_MFCC_24 NUMERIC
@ATTRIBUTE STD_MFCC_25 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_0 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_1 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_2 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_3 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_4 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_5 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_6 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_7 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_8 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_9 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_10 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_11 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_12 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_13 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_14 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_15 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_16 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_17 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_18 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_19 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_20 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_21 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_22 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_23 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_24 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_25 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_0 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_1 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_2 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_3 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_4 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_5 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_6 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_7 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_8 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_9 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_10 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_11 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_12 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_13 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_14 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_15 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_16 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_17 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_18 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_19 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_20 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_21 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_22 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_23 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_24 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_25 NUMERIC
@ATTRIBUTE TEMPO NUMERIC
@ATTRIBUTE AVG_BEAT_FRAME_DIFF NUMERIC
@ATTRIBUTE AVG_ZCR NUMERIC
@ATTRIBUTE AVG_HARMONIC NUMERIC
@ATTRIBUTE AVG_PERCUSSIVE NUMERIC
@ATTRIBUTE class {hiphop,jazz,metal,pop,rock}

@DATA
35.319779,18.444102,88.406446,2.082999,36.391405,-57.479697,89.41087,-45.145057,45.73877,-23.645852,21.648167,-26.14456,14.384496,-21.58904,18.123049,-13.809309,13.456314,-11.570611,8.049628,-9.715595,4.937133,-8.297019,5.424711,-2.41413,2.376934,-1.115596,1.340008,-1.821887,0.125223,0.351635,-0.301814,49.558196,22.842699,14.758063,15.497791,12.16565,9.244395,8.481942,7.421068,7.540007,7.222801,7.870432,6.422371,7.991055,8.022495,7.390686,6.684603,6.405658,7.888594,7.650431,5.339304,6.811005,5.090826,6.144036,5.451608,6.418329,5.705276,9.491937,3.688678,2.809502,3.083559,1.95433,1.608583,1.479149,1.386342,1.319912,1.12247,1.189879,1.060689,1.319955,1.233424,1.023072,1.100678,0.91178,1.297774,1.014062,0.927697,0.970707,1.00552,1.021973,0.934929,1.16957,1.065805,6.227325,2.306377,1.831945,1.743095,1.183172,0.982708,0.959808,0.964905,0.922202,0.708497,0.687583,0.659615,0.798758,0.80487,0.692819,0.733914,0.648102,0.713837,0.723562,0.650051,0.657809,0.670991,0.690481,0.625697,0.713944,0.671581,117.453835,21.666667,0.150241,-0.015527,-0.002215,hiphop
35.475778,16.690432,92.759888,0.530796,39.465641,-74.969863,52.426923,-18.048917,58.631683,8.265342,26.555461,-2.948538,28.564702,-11.869261,18.796295,-5.039486,11.891372,4.197837,12.188539,-4.320412,12.079374,-8.894651,5.030104,2.626935,1.869597,-3.281969,4.876192,-5.586189,-3.166356,0.254875,1.510498,54.427681,29.544973,31.227447,18.618905,18.524787,15.534537,12.597526,11.707222,11.119512,8.614429,10.135897,8.120492,9.515288,8.590697,7.979959,8.604491,6.997402,8.036864,7.211191,7.923868,8.480668,7.002052,8.868843,8.916375,9.618962,9.241332,11.930441,6.11719,6.636254,3.692667,3.347709,3.204407,2.453023,2.265633,2.197394,1.729539,2.011263,1.531608,1.813336,1.604661,1.659916,1.610722,1.330742,1.49489,1.399509,1.575405,1.585798,1.549728,1.638847,1.941662,2.138947,1.96937,7.220985,4.116266,4.591327,2.075946,2.125963,2.160031,1.512461,1.55176,1.481343,1.095516,1.309103,1.197462,1.221411,1.117371,1.109999,1.169798,0.90479,1.075827,1.08366,1.127315,1.078182,0.952569,1.082665,1.264093,1.425481,1.352299,184.570312,14.111111,0.096568,-7.9e-05,-0.000147,hiphop
35.092582,20.414511,105.120567,0.684658,35.252967,-199.532973,132.770446,6.466049,41.409188,-13.296496,15.724678,-14.874921,16.284477,-17.410596,7.72812,-8.49437,7.866397,-6.275189,4.645832,-7.903817,4.014259,-6.76228,-0.037154,-2.584392,-4.626274,-1.590135,-2.101215,-2.297846,-3.982705,0.405528,-4.123505,69.247542,30.572599,32.933521,20.366552,20.059764,14.589115,13.765496,11.102933,11.38047,10.595878,12.246104,9.031613,9.670617,8.897112,7.41961,7.540697,7.633949,6.69382,6.895058,6.844459,6.363269,6.146308,7.40712,8.681378,7.996698,9.111251,13.405086,6.64989,5.094938,3.727518,3.581685,2.707185,2.431524,2.025005,2.047239,1.976895,2.29792,1.65934,1.775569,1.529765,1.487106,1.369486,1.362538,1.255392,1.372539,1.18309,1.208486,1.163639,1.338404,1.5589,1.58142,1.578928,9.132464,4.150354,3.273255,2.507728,2.36508,1.678492,1.50722,1.367229,1.447785,1.242287,1.59023,1.11917,1.134157,1.047498,0.984092,0.883598,1.013704,0.80149,0.921395,0.824414,0.778223,0.766643,0.864724,0.939592,0.906178,0.932895,99.384014,26.0,0.061186,-0.001113,-0.001699,hiphop
34.016866,26.784011,116.014813,8.73216,50.005187,-51.36624,85.919003,-22.245325,37.360547,-8.921988,30.91496,-3.313514,31.473602,-2.55419,17.408275,-4.406725,7.638434,-6.695538,13.52352,-1.962144,12.326721,2.002405,1.195713,-5.509569,-3.17195,-2.64092,-0.84338,1.6663,0.902469,3.890366,-0.0998,73.073637,28.78167,33.996866,16.209883,15.911825,13.827239,14.377853,10.320633,11.281711,9.589942,9.314625,8.430955,8.741583,8.570351,8.818447,8.648849,8.551305,7.860944,7.610082,8.53568,8.211587,8.84219,9.127464,8.393277,8.262409,8.231529,15.656365,6.197196,6.486692,3.11697,3.283038,2.84192,2.597246,1.977218,2.316262,1.858235,1.815196,1.764959,1.731531,1.665637,1.638802,1.782673,1.751701,1.557715,1.440355,1.784944,1.50336,1.552132,1.72419,1.474112,1.548749,1.639314,8.92945,4.040887,3.481718,1.971323,2.12762,1.804566,1.658175,1.431678,1.63164,1.440852,1.270197,1.105558,1.157477,1.197872,1.112484,1.211814,0.973607,0.98036,0.976482,1.173228,1.061263,1.293356,1.263909,1.136612,1.109348,1.143433,92.285156,27.769231,0.090588,1e-05,-0.000377,hiphop
32.184695,31.091238,132.120873,0.009873,60.7347,-153.73706,74.944965,4.781099,37.756152,7.085688,31.88679,-4.416928,22.08875,-2.9965,17.105079,-2.248806,11.247809,-1.328479,6.872508,1.336973,2.989829,-0.265007,2.718069,-3.29064,0.188694,2.358478,2.859594,-2.249036,2.780252,1.28637,-0.764055,121.055756,32.668206,38.945495,20.7622,19.841655,16.609617,15.973764,12.09273,13.388328,14.60694,10.083443,8.768493,9.525579,10.109644,8.570092,8.028954,7.168916,6.589109,6.949471,7.503493,8.018464,8.319973,7.461348,7.412265,7.324475,8.04342,25.591678,6.562861,7.242619,3.536321,2.962296,2.916839,2.908141,2.2545,2.015223,2.633458,1.654409,1.732794,1.76204,1.836558,1.843925,1.57076,1.39944,1.225623,1.257749,1.538464,1.590336,1.616328,1.416966,1.295627,1.497502,1.65142,15.314831,4.472204,4.447805,2.362323,1.803206,1.73385,1.847521,1.394428,1.213253,1.513927,1.03279,1.181639,1.120441,1.174949,1.145524,0.995862,0.901827,0.761252,0.832902,1.014717,0.949852,1.015466,0.876613,0.807402,0.8955,0.963274,95.703125,26.714286,0.088428,-6e-06,-0.00037,hiphop
35.555008,17.519164,93.696594,2.938928,34.563601,-22.927391,81.830145,-8.120208,52.149486,-13.474106,31.731254,-20.880632,26.940942,-14.500622,14.253619,-10.538729,14.665836,-7.830245,6.926966,-6.333957,12.287185,-3.333977,6.157258,-2.225653,-0.152332,-3.494161,3.500442,2.991136,1.67922,-1.789175,0.060926,37.396433,20.878989,19.97397,14.457637,12.41861,9.369133,10.823476,9.502499,7.328221,9.229185,9.213151,7.48831,6.5707,6.838298,6.473904,6.762737,6.807691,7.112358,6.880997,7.45278,6.713433,6.215953,6.81703,6.939787,5.716467,5.47029,7.065886,3.607488,3.992115,2.418117,2.096415,1.799133,1.905678,1.501312,1.394145,1.852263,1.80689,1.404263,1.264704,1.174967,1.151331,1.304019,1.201639,1.356829,1.310911,1.301196,1.313461,1.058072,1.253555,1.245692,1.046655,0.991886,4.680959,2.185756,2.014016,1.479613,1.328047,0.993069,1.088119,1.029438,0.913823,1.017474,1.111512,0.940623,0.849642,0.819271,0.764674,0.732663,0.787172,0.740388,0.770624,0.874791,0.809222,0.766554,0.833376,0.72925,0.641146,0.708291,143.554688,18.235294,0.127228,-0.000329,-0.002862,hiphop
33.278353,27.997655,107.564458,0.221224,41.539721,-82.304687,56.603277,9.352231,47.958704,-6.036847,29.430353,-10.724742,23.370453,-6.552251,17.917435,-8.213182,15.781817,-4.654661,7.289037,-7.898064,6.721436,-3.331881,2.619146,-5.833935,-0.338265,-2.214386,2.894441,-1.993235,0.889758,-4.545703,-1.277668,85.082916,32.675871,28.972187,22.352221,19.082507,15.673247,14.76087,12.286165,12.103502,11.428611,9.237413,10.413832,10.356709,8.878763,8.018988,7.275104,8.174268,6.927082,7.643377,6.263409,7.028978,8.120226,7.218022,9.346828,9.05382,8.621247,17.964887,5.974559,4.843267,4.097815,3.651767,2.47647,2.375456,2.136383,2.000015,1.959126,1.697145,1.92255,1.814714,1.768056,1.547784,1.28152,1.385323,1.399738,1.444654,1.32231,1.138544,1.417747,1.331191,1.775236,1.461295,1.352126,13.02789,4.294605,2.721099,2.449297,2.393339,1.793309,1.591491,1.231826,1.303193,1.403744,1.219138,1.266105,1.219288,1.122719,1.008845,0.842494,0.867206,0.890579,0.87464,0.778132,0.803735,0.921859,0.975898,1.117148,1.023389,1.027866,99.384014,25.846154,0.132296,-6.3e-05,-0.000422,hiphop
34.867444,21.644659,91.304523,1.586739,32.621531,-72.462105,103.655018,-14.688403,48.929984,-7.215644,12.135705,-8.939654,19.87284,-13.646004,19.858285,-4.373842,17.911503,-1.510665,8.664832,-6.897916,5.203628,-2.550698,1.536233,-2.851716,1.124514,0.935889,4.101093,2.244344,-1.661269,-5.144752,-5.600774,60.065551,23.038812,27.756731,19.311532,14.958738,11.569127,14.045343,11.334078,12.255341,9.020257,9.10877,9.979966,7.968291,6.09601,6.920734,6.726958,8.320294,6.74458,5.63082,6.193415,7.318346,7.390631,8.665321,6.808412,5.774658,6.052792,13.318616,4.474174,5.168285,3.200777,2.605408,2.367224,2.59487,1.97688,1.920753,1.760997,1.655272,1.592801,1.392628,1.137051,1.321747,1.219329,1.589351,1.023152,1.151653,1.078029,1.426309,1.165129,1.727825,1.083373,1.021484,1.056688,8.284435,3.103274,2.77075,1.663563,1.244477,1.464835,1.357881,1.058494,1.122737,1.00878,1.029714,0.825816,0.952191,0.71083,0.95237,0.701466,1.082927,0.677566,0.801758,0.716322,0.966451,0.723339,1.239776,0.707582,0.697769,0.692613,123.046875,21.333333,0.078816,2.9e-05,-0.000283,hiphop
32.325642,33.891854,145.654601,0.054984,62.201927,-134.454758,50.517647,-8.228464,53.02768,-22.379569,23.25401,-15.266785,16.287138,-11.656299,16.550749,-12.994049,8.762582,-9.878667,4.90781,-2.963081,6.82246,2.462992,14.004014,8.31494,6.728159,2.732546,1.028681,-1.458455,-0.215441,-0.632579,-1.82423,94.748177,36.520206,31.071107,24.277428,25.70164,15.400656,20.662187,11.455073,12.077865,11.001205,10.546153,10.106868,9.105538,9.745705,10.384031,10.990549,14.532088,11.97714,11.853688,12.231753,12.702411,10.384627,10.30219,7.77313,7.333946,7.815232,15.015052,5.282749,5.399779,3.605521,4.103425,2.532042,3.129667,1.951847,1.979607,2.046374,1.760308,1.796588,1.51875,1.630851,1.561949,1.68058,2.387266,2.534468,2.205487,2.096485,1.982585,2.091438,1.629575,1.442349,1.252253,1.465498,10.30594,3.445558,3.197837,2.476877,2.181034,1.423168,1.71526,1.226038,1.496283,1.263183,1.143811,1.137926,1.028308,0.989167,1.030301,1.160282,1.322008,1.427783,1.285655,1.336799,1.183933,1.23261,1.067927,1.105688,0.93688,0.911775,172.265625,15.4,0.168373,0.000312,0.000531,hiphop
31.456475,33.161685,210.26485,0.370077,96.387464,-102.573805,66.973778,-15.667461,46.436896,-14.265158,26.599665,-13.34119,19.82416,-11.868479,16.997845,-8.198624,9.872542,-6.272405,6.940346,-8.481887,0.49441,-4.868015,1.996131,1.65131,10.057816,7.318905,2.906044,-2.07843,-3.163583,-4.550712,-5.53065,79.230607,31.86186,25.938489,18.225243,15.904064,12.346412,14.677968,9.751034,10.372794,10.442052,9.645684,8.888426,7.2783,7.486657,8.391487,8.167953,7.032715,8.632705,10.450386,12.527682,13.797256,12.00654,10.500664,8.975291,8.300611,6.385873,14.708366,6.195156,4.509736,3.274733,2.864091,2.339795,2.361774,1.912881,1.906961,2.052248,1.800767,1.66097,1.479637,1.356391,1.451951,1.329681,1.239763,1.644513,2.154864,2.245807,2.303916,1.973353,2.109025,1.721953,1.556715,1.168323,10.383124,3.567534,2.820311,2.007405,1.840996,1.38064,1.440201,1.179364,1.18352,1.411202,1.189601,1.109074,0.950887,0.829999,0.964206,0.921878,0.889006,1.155079,1.414443,1.358653,1.508937,1.337828,1.305222,1.000297,1.015826,0.834772,103.359375,24.714286,0.16372,-0.001727,-0.002651,hiphop
