@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE MEAN_MFCC_0 NUMERIC
@ATTRIBUTE MEAN_MFCC_1 NUMERIC
@ATTRIBUTE MEAN_MFCC_2 NUMERIC
@ATTRIBUTE MEAN_MFCC_3 NUMERIC
@ATTRIBUTE MEAN_MFCC_4 NUMERIC
@ATTRIBUTE MEAN_MFCC_5 NUMERIC
@ATTRIBUTE MEAN_MFCC_6 NUMERIC
@ATTRIBUTE MEAN_MFCC_7 NUMERIC
@ATTRIBUTE MEAN_MFCC_8 NUMERIC
@ATTRIBUTE MEAN_MFCC_9 NUMERIC
@ATTRIBUTE MEAN_MFCC_10 NUMERIC
@ATTRIBUTE MEAN_MFCC_11 NUMERIC
@ATTRIBUTE MEAN_MFCC_12 NUMERIC
@ATTRIBUTE MEAN_MFCC_13 NUMERIC
@ATTRIBUTE MEAN_MFCC_14 NUMERIC
@ATTRIBUTE MEAN_MFCC_15 NUMERIC
@ATTRIBUTE MEAN_MFCC_16 NUMERIC
@ATTRIBUTE MEAN_MFCC_17 NUMERIC
@ATTRIBUTE MEAN_MFCC_18 NUMERIC
@ATTRIBUTE MEAN_MFCC_19 NUMERIC
@ATTRIBUTE MEAN_MFCC_20 NUMERIC
@ATTRIBUTE MEAN_MFCC_21 NUMERIC
@ATTRIBUTE MEAN_MFCC_22 NUMERIC
@ATTRIBUTE MEAN_MFCC_23 NUMERIC
@ATTRIBUTE MEAN_MFCC_24 NUMERIC
@ATTRIBUTE MEAN_MFCC_25 NUMERIC
@ATTRIBUTE STD_MFCC_0 NUMERIC
@ATTRIBUTE STD_MFCC_1 NUMERIC
@ATTRIBUTE STD_MFCC_2 NUMERIC
@ATTRIBUTE STD_MFCC_3 NUMERIC
@ATTRIBUTE STD_MFCC_4 NUMERIC
@ATTRIBUTE STD_MFCC_5 NUMERIC
@ATTRIBUTE STD_MFCC_6 NUMERIC
@ATTRIBUTE STD_MFCC_7 NUMERIC
@ATTRIBUTE STD_MFCC_8 NUMERIC
@ATTRIBUTE STD_MFCC_9 NUMERIC
@ATTRIBUTE STD_MFCC_10 NUMERIC
@ATTRIBUTE STD_MFCC_11 NUMERIC
@ATTRIBUTE STD_MFCC_12 NUMERIC
@ATTRIBUTE STD_MFCC_13 NUMERIC
@ATTRIBUTE STD_MFCC_14 NUMERIC
@ATTRIBUTE STD_MFCC_15 NUMERIC
@ATTRIBUTE STD_MFCC_16 NUMERIC
@ATTRIBUTE STD_MFCC_17 NUMERIC
@ATTRIBUTE STD_MFCC_18 NUMERIC
@ATTRIBUTE STD_MFCC_19 NUMERIC
@ATTRIBUTE STD_MFCC_20 NUMERIC
@ATTRIBUTE STD_MFCC_21 NUMERIC
@ATTRIBUTE STD_MFCC_22 NUMERIC
@ATTRIBUTE STD_MFCC_23 NUMERIC
@ATTRIBUTE STD_MFCC_24 NUMERIC
@ATTRIBUTE STD_MFCC_25 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_0 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_1 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_2 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_3 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_4 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_5 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_6 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_7 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_8 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_9 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_10 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_11 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_12 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_13 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_14 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_15 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_16 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_17 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_18 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_19 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_20 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_21 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_22 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_23 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_24 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_25 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_0 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_1 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_2 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_3 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_4 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_5 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_6 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_7 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_8 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_9 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_10 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_11 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_12 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_13 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_14 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_15 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_16 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_17 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_18 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_19 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_20 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_21 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_22 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_23 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_24 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_25 NUMERIC
@ATTRIBUTE TEMPO NUMERIC
@ATTRIBUTE AVG_BEAT_FRAME_DIFF NUMERIC
@ATTRIBUTE AVG_ZCR NUMERIC
@ATTRIBUTE AVG_HARMONIC NUMERIC
@ATTRIBUTE AVG_PERCUSSIVE NUMERIC
@ATTRIBUTE class {blues,jazz}

@DATA
34.31229,25.939552,128.668289,1.854118,46.780351,-125.188177,120.222127,-18.358816,44.887317,-5.44466,20.872968,-13.772674,16.822574,-12.438343,11.849509,-8.861545,9.301554,-4.159669,7.11912,-5.663028,0.530102,-2.870996,0.306076,-2.700369,2.370232,-3.979002,-1.626469,-3.33071,-3.281683,2.040289,0.541465,51.758594,15.465611,15.935157,13.79875,12.143923,9.175221,8.65331,8.063463,9.41094,8.116098,7.458388,6.769897,6.411434,6.409143,7.465545,8.36493,5.956473,6.595971,7.661201,6.931646,6.399598,5.597871,6.384588,6.601279,8.818895,8.657884,10.46632,2.763805,2.798594,2.029161,1.595037,1.730227,1.61264,1.555317,1.534929,1.337363,1.33172,1.121034,1.203303,1.043895,1.204283,1.221124,1.062482,1.106805,1.269454,1.132883,0.892853,1.000794,1.067957,1.23373,1.351757,1.347128,5.688477,1.597505,1.507919,1.199649,0.926678,0.962089,1.028483,0.887586,0.96675,0.79729,0.836282,0.76796,0.750123,0.692678,0.704022,0.695556,0.632208,0.677166,0.699763,0.664332,0.624069,0.670954,0.63655,0.752624,0.802222,0.747339,123.046875,20.736842,0.080111,-4.6e-05,-1e-06,blues
33.839788,27.299085,163.234585,0.108457,61.088547,-221.931199,131.147631,0.490466,39.10196,7.865721,17.842266,-6.045132,22.623968,-5.247429,10.499156,-3.123052,6.931743,-1.881996,4.95143,-4.531081,-0.463962,0.497852,0.039325,-1.083576,-0.112308,-4.711165,-3.306784,-4.162231,-1.913374,4.146043,1.972274,96.937595,24.475538,32.771427,15.091166,15.796411,13.383911,15.417726,10.410209,13.058589,10.334227,8.582154,9.36597,8.046435,8.596169,7.686157,7.924546,7.82536,6.962972,7.379339,7.344995,6.854879,6.424519,6.758987,9.062989,8.209765,7.760364,15.922872,3.821231,3.574991,2.760724,2.615659,2.109241,2.221374,1.813749,1.822859,1.779771,1.517358,1.485762,1.235981,1.329134,1.12491,1.171735,1.154737,0.962831,1.218181,1.334318,1.246876,1.263334,1.187834,1.502023,1.434094,1.227778,8.406333,2.236578,1.745622,1.413772,1.537861,1.161487,1.102475,1.028413,0.975382,0.960497,0.897225,0.797468,0.706429,0.881757,0.749949,0.661609,0.740927,0.583531,0.646648,0.724369,0.672884,0.714492,0.702104,0.76752,0.778578,0.752052,67.999589,37.7,0.055211,0.000114,-0.000146,blues
35.544561,16.884839,89.487257,3.191087,27.548498,-99.112019,141.554114,-25.738702,34.465648,-17.079191,25.845569,-13.173907,10.728313,-11.375275,7.317138,-12.999937,4.544575,-8.695225,-2.315017,-8.14497,2.917832,-6.660074,-2.039235,-2.04527,-2.697336,-4.523148,-2.748992,-2.803325,-6.079203,-4.012526,-7.471584,55.199451,24.55917,18.360335,11.967089,13.622325,9.418791,11.46969,11.389227,8.685765,8.165425,7.616431,7.222793,7.432173,7.486861,6.479927,6.156706,7.32852,6.975497,6.762506,5.344122,5.765545,6.435385,6.448203,6.361882,7.230644,5.96992,12.150957,3.857067,3.91242,2.278118,1.922535,1.731631,2.17647,2.007667,1.758661,1.552312,1.295808,1.263815,1.435016,1.471746,1.283526,1.209307,1.433339,1.245219,1.217889,0.963603,0.957156,1.189735,1.049555,1.142184,1.304589,1.156589,7.554518,2.479828,2.262043,1.342614,1.321948,1.035798,1.343206,1.283235,1.14475,1.090609,0.867432,0.799616,0.833776,0.971338,0.804691,0.870415,0.807052,0.702502,0.830131,0.665363,0.616746,0.682127,0.670482,0.782641,0.804851,0.736538,161.499023,16.521739,0.070182,6e-06,-1e-06,blues
33.087515,30.569537,141.856521,0.46271,45.730759,-214.465684,156.586952,2.785259,26.750802,4.973102,9.370925,-1.33405,10.199723,2.439718,8.812751,2.481811,4.701362,-2.364664,-0.866407,-3.422017,-0.273014,0.231585,2.43752,1.284241,-2.200283,-0.74604,0.967628,-1.711376,-5.672815,-4.979935,-7.381637,76.582748,22.418507,17.289294,11.700442,14.806581,10.12062,11.754558,7.841869,8.282752,6.851816,7.529915,5.648396,5.455291,6.283073,6.421667,5.812247,5.583536,5.530665,5.175146,5.574631,6.479384,6.041664,4.985782,4.294109,4.903904,5.691659,15.041761,3.550834,3.11881,2.304794,2.594547,1.771417,1.57221,1.407845,1.709979,1.19171,1.466444,0.993593,1.011259,1.032089,1.02058,0.859306,0.911019,0.878722,0.901307,0.871786,1.073796,0.928942,0.824108,0.746873,0.796718,0.821519,7.272034,2.263595,1.857675,1.338541,1.215688,0.97554,0.876339,0.745996,0.986311,0.636412,0.761148,0.619814,0.693953,0.595966,0.573986,0.511297,0.526971,0.541139,0.512141,0.457397,0.573892,0.491916,0.525538,0.478564,0.469341,0.500105,63.024009,41.714286,0.030092,6e-06,6e-06,blues
33.294756,30.066129,171.924818,0.600137,52.753037,-151.967184,115.340432,-31.880495,23.762521,-37.113508,13.918186,-23.040842,4.60243,-14.460253,4.068373,-16.674786,-4.082294,-4.75599,-7.9741,-9.649984,-2.115261,-8.198335,-1.059962,-3.900608,-12.995133,-7.785318,-0.920511,-0.31225,-0.83719,7.014626,1.403601,73.192057,35.547082,17.777107,15.42346,19.026064,12.51307,10.582757,12.127358,13.808162,10.64319,8.15746,8.200203,9.743963,9.466593,9.169208,11.390634,8.453673,7.916748,7.689258,7.554993,8.307596,7.790035,7.726835,6.807625,9.38778,11.724422,12.197866,4.144358,3.215574,2.519465,2.23098,1.700848,1.859237,1.623537,1.913331,1.44329,1.359549,1.438168,1.515964,1.459962,1.394197,1.483662,1.165248,1.187748,1.360234,1.400026,1.403142,1.372064,1.126087,1.091743,1.104042,1.374928,6.482366,2.222988,1.958212,1.238399,1.266912,1.076404,1.127347,0.934187,0.940589,0.92803,0.881582,0.848476,0.918206,0.943946,0.853204,0.828054,0.889444,0.811568,0.867875,0.940222,0.883687,0.888653,0.763785,0.638377,0.722656,0.8845,135.999178,19.157895,0.116385,-3.9e-05,8e-06,blues
32.242692,35.008606,189.590624,0.082259,74.203727,-192.284529,123.234326,-15.553626,28.940797,-23.013676,12.88131,-22.004117,2.606428,-9.702519,0.054917,-11.88233,-2.657432,-8.106194,-9.547033,-5.167343,-3.275533,-1.72868,-2.886314,-2.64774,-8.123838,-2.712601,-1.906642,-6.760852,-6.351603,-3.917692,-0.550337,92.615362,64.070671,27.801516,21.624104,21.559795,18.192486,13.570035,12.551485,14.045851,10.818821,8.519471,10.297418,8.56357,7.285448,7.877068,9.617509,9.443828,7.073531,5.615266,7.073833,8.113154,7.688071,7.096138,8.77196,12.381937,12.471887,15.79585,5.362642,4.232363,3.192617,3.111865,2.183988,2.056988,1.682025,1.838982,1.869756,1.376034,1.466997,1.437825,1.401651,1.385878,1.296565,1.018759,1.175967,0.988765,1.125692,1.051062,0.970861,1.163483,1.388588,1.725475,1.897525,8.048516,2.883312,2.26739,1.861026,1.644021,1.185383,1.254976,1.001522,1.042739,1.094596,0.873017,1.011909,0.910247,0.853477,0.927545,0.752133,0.706953,0.708516,0.636141,0.671562,0.644774,0.610157,0.726667,0.747537,1.006674,1.031699,67.999589,38.333333,0.096216,1.5e-05,-2.7e-05,blues
31.042551,38.4886,250.893844,0.248983,68.220861,-231.624017,137.202366,-26.308645,28.270074,18.801386,-1.817813,-18.936931,-1.219326,-5.528739,-8.207975,-8.898857,-3.103785,-6.429709,-7.830541,-5.333322,-8.260011,-9.776563,-7.086096,-5.599707,-8.522002,-10.020841,-10.714394,-7.053419,-4.194991,-2.145909,-2.408995,89.558098,43.795138,33.088884,20.940287,32.81706,16.045815,12.319386,8.056558,9.58055,10.427423,8.634677,8.042357,6.999256,7.554555,7.763079,8.167184,7.838528,5.998084,6.651376,7.111998,7.67032,9.957133,11.940068,9.371821,8.79051,9.309414,12.695909,4.455145,5.137226,2.964244,3.301433,2.347904,1.756027,1.561123,1.52934,2.258399,1.472538,1.235098,1.259883,1.318843,1.155992,1.130154,1.330203,1.092901,1.138114,1.312279,1.321659,1.74726,1.605093,1.483846,1.449011,1.938092,7.418263,2.628293,2.978578,1.620496,1.689589,1.350278,1.105002,0.962079,1.08991,1.320734,0.855333,0.735937,0.749173,0.756153,0.729871,0.687738,0.802459,0.638741,0.686812,0.818574,0.799833,0.92595,0.871532,0.808333,0.925164,1.146879,69.837416,36.5,0.055076,-2e-06,-3.4e-05,blues
33.024596,31.188245,152.933344,0.433357,73.483382,-194.920983,141.111089,-25.503689,35.263924,11.735905,12.656197,-20.067294,8.179672,-10.890161,-5.070581,-6.23679,-6.946603,-1.095008,-7.42498,-8.356829,-7.3254,-10.384548,-12.544005,-6.049529,-7.368905,-11.024206,-12.151036,-4.19764,-1.12704,-3.165081,-2.065437,79.466275,32.71649,23.407318,15.106778,23.919689,10.939309,12.510772,12.549738,14.061373,12.322406,10.522516,8.003778,9.328382,7.286409,9.296265,8.583955,7.538719,7.669478,8.098994,7.848226,7.61837,7.816329,6.001027,9.065243,6.365979,5.883481,14.322915,4.197892,4.26381,2.745603,3.028133,1.780942,2.109638,1.877046,2.107646,2.004425,1.597003,1.475264,1.636148,1.191592,1.650821,1.271743,1.271485,1.365662,1.371309,1.259422,1.25849,1.267815,1.000413,1.122571,1.034352,1.048721,7.980171,2.70476,2.475806,1.680451,1.966033,1.062982,1.24358,1.233583,1.250365,1.031872,0.903126,0.950542,1.014714,0.749922,1.028289,0.780959,0.779076,0.894983,0.862073,0.778001,0.768361,0.787979,0.644444,0.732933,0.623147,0.621107,92.285156,28.636364,0.056028,6e-06,-4e-05,blues
35.696024,16.421648,89.493882,8.673656,33.186294,-115.713396,123.825023,-17.21169,46.006485,-8.161711,21.095631,-21.959996,22.476828,-12.446996,22.170706,-5.891054,7.905635,-13.450055,4.585523,-5.763946,-1.767178,-7.531543,3.350878,4.090074,-2.558977,-4.76515,-0.437419,-4.354574,-14.647706,-7.821942,-0.667883,50.403004,21.721546,18.10747,13.33307,13.215571,11.214901,7.688133,8.820521,6.849362,7.290545,6.585047,7.131784,7.356511,6.863872,5.920921,7.050338,5.20428,6.710771,5.209316,6.137275,5.289788,5.370871,5.454005,7.341163,7.022432,6.146519,10.496138,4.788419,3.917613,2.337174,2.064853,2.573923,1.333214,1.608282,1.133636,1.503191,1.14448,1.493872,1.140791,1.284338,0.966893,1.472063,0.985727,1.217425,0.915611,1.181207,0.991436,1.084558,1.061568,1.397812,1.347962,1.0402,6.173837,2.55316,2.226602,1.233173,1.206523,1.332344,0.823053,1.114528,0.700562,0.949535,0.779682,0.925567,0.690896,0.882936,0.571752,0.853229,0.662735,0.773112,0.603289,0.867278,0.751978,0.767188,0.738413,0.906128,0.91036,0.646476,83.354335,30.909091,0.068433,2e-06,-2.6e-05,blues
31.904414,35.83608,190.54088,0.359987,41.232024,-203.58729,117.890447,-12.823815,42.309985,-20.177167,17.118177,-11.094943,10.045699,-15.210399,4.521337,-9.380329,3.537775,-3.580029,-6.312285,-2.640269,-3.019559,-2.517109,-1.236375,2.084805,-7.835509,-2.163456,-1.019275,-1.587525,4.439293,9.802243,4.748205,75.467838,28.903473,25.282887,18.47758,19.551959,18.796912,11.383094,9.201598,9.705726,8.793013,8.67364,9.784372,7.087519,8.681674,10.303294,6.312932,7.679868,10.868676,8.162941,10.385255,9.282428,7.611355,9.237763,10.680086,12.433832,12.326696,9.794849,3.808844,3.113812,2.730876,2.490092,1.840874,1.699492,1.434468,1.707151,1.641014,1.472404,1.26336,1.249902,1.366756,1.421459,1.131346,1.239379,1.203947,1.348729,1.454549,1.278992,1.201722,1.344649,1.796673,1.731296,1.578992,4.594572,2.148767,1.706694,1.401904,1.436383,1.020027,1.010152,0.863333,0.879096,0.904571,0.796044,0.828238,0.79134,0.768076,0.864478,0.67139,0.757243,0.699973,0.75299,0.857319,0.730908,0.765807,0.817725,0.866245,0.94146,0.774621,83.354335,30.272727,0.082615,4e-06,-1.5e-05,blues
