@RELATION music_genre
@ATTRIBUTE AVG_ENT NUMERIC
@ATTRIBUTE STD_DEV_ENT NUMERIC
@ATTRIBUTE MAX_ENT NUMERIC
@ATTRIBUTE MIN_ENT NUMERIC
@ATTRIBUTE MAX_DIFF_ENT NUMERIC
@ATTRIBUTE class {hiphop,nothiphop}

@DATA
13.904425,9.852189,44.577684,0.593452,18.816424,hiphop
14.379766,6.947403,40.640369,0.054394,19.704052,hiphop
14.101770,9.213651,60.910713,0.204333,26.399684,hiphop
13.851547,11.024867,47.705571,0.763213,21.687706,hiphop
13.314024,13.207857,57.227815,0.003492,26.166241,hiphop
14.377740,7.247841,42.380490,1.005517,14.706449,hiphop
13.804712,10.543369,41.821994,0.042779,16.274833,hiphop
14.158854,8.770082,41.327377,0.227937,14.607387,hiphop
13.394382,13.800191,66.448163,0.021041,28.203742,hiphop
13.872371,10.160975,61.636559,0.081199,29.438555,hiphop
13.643253,11.704705,58.614046,0.799869,27.167031,hiphop
13.939124,10.072291,54.082147,0.165132,21.770181,hiphop
14.204679,8.708432,49.036200,2.575519,21.549327,hiphop
14.426419,6.223139,32.625751,0.962434,13.759847,hiphop
14.286762,7.898888,39.912797,0.012302,17.950971,hiphop
13.637373,12.032768,76.190319,0.565389,36.163046,hiphop
13.594493,11.942123,58.682410,0.151518,21.830100,hiphop
14.045707,9.883625,60.511632,0.772446,24.999052,hiphop
13.611741,11.722876,46.907052,0.016554,21.446134,hiphop
13.523022,12.179269,66.594670,0.220575,30.211560,hiphop
14.046052,9.918299,45.353858,0.262959,16.468832,hiphop
14.283659,7.851716,40.164261,0.727888,18.001349,hiphop
13.756795,11.479274,62.857343,0.000185,29.812149,hiphop
14.314708,7.929189,48.281871,3.138733,20.408547,hiphop
13.571200,12.502563,68.090710,0.311837,32.482607,hiphop
14.238596,8.050801,38.217306,1.043038,18.934054,hiphop
13.615259,11.238116,47.583705,0.154935,15.217450,hiphop
14.265148,7.382557,34.891134,0.046019,17.138787,hiphop
14.499157,5.801161,34.777779,0.948014,11.545032,hiphop
