@RELATION mfcc_features
@ATTRIBUTE MEAN_MFCC_0 NUMERIC
@ATTRIBUTE MEAN_MFCC_1 NUMERIC
@ATTRIBUTE MEAN_MFCC_2 NUMERIC
@ATTRIBUTE MEAN_MFCC_3 NUMERIC
@ATTRIBUTE MEAN_MFCC_4 NUMERIC
@ATTRIBUTE MEAN_MFCC_5 NUMERIC
@ATTRIBUTE MEAN_MFCC_6 NUMERIC
@ATTRIBUTE MEAN_MFCC_7 NUMERIC
@ATTRIBUTE MEAN_MFCC_8 NUMERIC
@ATTRIBUTE MEAN_MFCC_9 NUMERIC
@ATTRIBUTE MEAN_MFCC_10 NUMERIC
@ATTRIBUTE MEAN_MFCC_11 NUMERIC
@ATTRIBUTE MEAN_MFCC_12 NUMERIC
@ATTRIBUTE MEAN_MFCC_13 NUMERIC
@ATTRIBUTE MEAN_MFCC_14 NUMERIC
@ATTRIBUTE MEAN_MFCC_15 NUMERIC
@ATTRIBUTE MEAN_MFCC_16 NUMERIC
@ATTRIBUTE MEAN_MFCC_17 NUMERIC
@ATTRIBUTE MEAN_MFCC_18 NUMERIC
@ATTRIBUTE MEAN_MFCC_19 NUMERIC
@ATTRIBUTE MEAN_MFCC_20 NUMERIC
@ATTRIBUTE MEAN_MFCC_21 NUMERIC
@ATTRIBUTE MEAN_MFCC_22 NUMERIC
@ATTRIBUTE MEAN_MFCC_23 NUMERIC
@ATTRIBUTE MEAN_MFCC_24 NUMERIC
@ATTRIBUTE MEAN_MFCC_25 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_0 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_1 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_2 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_3 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_4 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_5 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_6 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_7 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_8 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_9 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_10 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_11 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_12 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_13 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_14 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_15 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_16 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_17 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_18 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_19 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_20 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_21 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_22 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_23 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_24 NUMERIC
@ATTRIBUTE MEAN_DELTA_MFCC_25 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_0 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_1 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_2 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_3 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_4 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_5 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_6 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_7 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_8 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_9 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_10 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_11 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_12 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_13 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_14 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_15 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_16 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_17 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_18 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_19 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_20 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_21 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_22 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_23 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_24 NUMERIC
@ATTRIBUTE MEAN_DELTA2_MFCC_25 NUMERIC
@ATTRIBUTE STD_MFCC_0 NUMERIC
@ATTRIBUTE STD_MFCC_1 NUMERIC
@ATTRIBUTE STD_MFCC_2 NUMERIC
@ATTRIBUTE STD_MFCC_3 NUMERIC
@ATTRIBUTE STD_MFCC_4 NUMERIC
@ATTRIBUTE STD_MFCC_5 NUMERIC
@ATTRIBUTE STD_MFCC_6 NUMERIC
@ATTRIBUTE STD_MFCC_7 NUMERIC
@ATTRIBUTE STD_MFCC_8 NUMERIC
@ATTRIBUTE STD_MFCC_9 NUMERIC
@ATTRIBUTE STD_MFCC_10 NUMERIC
@ATTRIBUTE STD_MFCC_11 NUMERIC
@ATTRIBUTE STD_MFCC_12 NUMERIC
@ATTRIBUTE STD_MFCC_13 NUMERIC
@ATTRIBUTE STD_MFCC_14 NUMERIC
@ATTRIBUTE STD_MFCC_15 NUMERIC
@ATTRIBUTE STD_MFCC_16 NUMERIC
@ATTRIBUTE STD_MFCC_17 NUMERIC
@ATTRIBUTE STD_MFCC_18 NUMERIC
@ATTRIBUTE STD_MFCC_19 NUMERIC
@ATTRIBUTE STD_MFCC_20 NUMERIC
@ATTRIBUTE STD_MFCC_21 NUMERIC
@ATTRIBUTE STD_MFCC_22 NUMERIC
@ATTRIBUTE STD_MFCC_23 NUMERIC
@ATTRIBUTE STD_MFCC_24 NUMERIC
@ATTRIBUTE STD_MFCC_25 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_0 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_1 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_2 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_3 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_4 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_5 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_6 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_7 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_8 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_9 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_10 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_11 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_12 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_13 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_14 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_15 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_16 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_17 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_18 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_19 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_20 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_21 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_22 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_23 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_24 NUMERIC
@ATTRIBUTE STD_DELTA_MFCC_25 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_0 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_1 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_2 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_3 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_4 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_5 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_6 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_7 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_8 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_9 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_10 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_11 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_12 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_13 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_14 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_15 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_16 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_17 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_18 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_19 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_20 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_21 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_22 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_23 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_24 NUMERIC
@ATTRIBUTE STD_DELTA2_MFCC_25 NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
-159.454601,104.858863,-10.334901,34.656598,-4.978359,26.813483,-21.936440,23.436378,-14.019638,19.581072,-8.303447,9.723005,-10.084416,1.418244,-6.494252,1.074486,-9.199858,3.286666,-0.759792,3.761664,3.301428,3.061900,-2.194088,0.916929,0.909121,2.282171,-0.060565,0.025022,-0.044144,-0.035168,0.005100,-0.011249,0.020236,-0.031087,0.001569,-0.002843,-0.004312,0.001642,-0.001586,0.014315,0.012012,0.003453,0.007642,-0.011483,-0.003543,-0.004099,-0.016070,-0.007022,-0.006089,-0.006082,0.005815,-0.003575,-0.001053,0.004176,-0.012586,-0.001399,-0.005505,0.001955,0.004375,-0.000865,0.000328,-0.003774,0.006338,0.001805,-0.005144,-0.004229,-0.001345,-0.008538,0.000139,-0.004855,0.002297,-0.000608,-0.000928,-0.000325,-0.002844,-0.003348,-0.002086,-0.006585,57.431687,19.549466,22.194045,16.813023,12.638567,11.369079,11.655730,10.299066,9.366152,10.258808,9.916775,10.639120,9.817259,7.868568,8.801458,8.196233,9.439175,8.678507,9.302760,10.208039,12.200528,11.120380,10.272834,10.470088,9.359514,8.529597,9.808985,3.298736,3.855940,2.553613,2.193870,1.734789,1.900441,1.756858,1.462614,1.515858,1.427936,1.785167,1.407737,1.351426,1.397171,1.439198,1.294147,1.303056,1.278022,1.321585,1.596873,1.493238,1.442643,1.402558,1.512274,1.350983,7.641245,2.307816,2.422693,1.592595,1.320173,1.086614,1.174128,1.208654,0.972864,0.980730,1.074737,1.118686,1.035159,0.892156,1.009276,0.959118,0.837575,0.844931,0.886143,0.890987,1.079814,0.968286,1.012130,0.984378,0.917063,0.834753,reggae
-190.903375,127.411249,-3.781715,26.699515,-12.817379,23.917780,-8.218689,9.954492,-12.225648,13.444773,-7.063592,1.636291,-14.525697,-3.233436,-10.447204,-3.503115,-9.744485,-3.916738,-7.651850,-3.549434,-8.470150,-8.386816,-3.522639,-6.404142,-1.371994,0.402366,-0.065811,0.044470,-0.034898,0.003398,-0.009210,-0.007619,0.019414,-0.007441,0.010642,0.006494,0.019820,-0.008152,-0.000472,-0.008053,0.004862,-0.012833,0.008500,0.009849,0.010943,-0.007920,-0.005602,-0.007917,0.002475,0.007591,0.001673,-0.003728,-0.020717,0.001165,0.008845,0.005276,0.006001,-0.010538,-0.001588,-0.000861,0.004413,-0.004636,0.001118,-0.003205,0.004041,-0.004298,-0.000316,-0.002545,0.000934,-0.005255,-0.002514,-0.005268,-0.000997,-0.001458,0.007835,0.006703,0.004026,-0.001313,54.297891,27.926145,20.749233,11.393781,11.207613,8.817560,9.725675,10.686386,8.936889,8.888313,8.734716,7.993306,7.536905,8.518822,7.657598,6.992881,7.209826,7.761153,7.922905,7.442175,7.193186,6.389336,6.278379,5.644467,5.416248,6.304672,10.694782,5.973377,2.695128,1.599954,1.724382,1.714420,1.599548,1.820835,1.354432,1.322735,1.361921,1.520821,1.270054,1.560526,1.188400,1.274221,1.258079,1.127882,1.207597,1.107126,1.078061,0.977029,0.905607,0.999803,0.911352,0.929842,6.484787,3.038281,1.540301,0.931545,0.932585,0.974563,0.900277,1.017551,0.848764,0.745393,0.829029,0.806605,0.697905,0.987719,0.703706,0.788211,0.755247,0.675128,0.738953,0.647465,0.605558,0.614339,0.577259,0.598051,0.538418,0.596283,reggae
-189.065427,110.858262,3.004887,48.370608,-6.414667,20.720901,-12.555557,15.879528,-13.624747,9.412742,-8.037605,8.087933,-10.635764,-2.556252,-4.711722,-1.037851,-3.206989,2.696750,-3.982513,2.865026,-4.463794,-4.312420,-2.222274,0.099529,-2.401439,-3.818240,-0.086119,0.051577,0.012727,-0.042210,-0.000718,-0.009121,0.007189,0.003400,-0.027294,-0.007805,0.008919,-0.002388,-0.017100,-0.011937,0.009322,-0.005333,-0.002754,-0.010242,0.007277,-0.011220,-0.013644,-0.001819,-0.001595,0.001456,0.001477,-0.000466,0.018459,0.001366,0.037985,-0.019733,-0.000053,-0.000055,-0.008076,0.008855,-0.000566,0.003495,-0.003908,0.007765,0.005514,0.005216,0.001554,0.009239,-0.000921,-0.002096,-0.002786,0.001859,0.001018,0.005686,0.002618,0.003853,0.003282,-0.008696,79.606522,26.840915,25.163905,17.921292,13.849748,15.607891,12.984151,11.891841,11.444440,11.254507,9.358532,9.451854,10.108307,10.417568,7.869298,7.740410,9.389857,9.645777,7.530624,8.489361,8.903288,8.345008,7.416608,6.888057,6.519302,6.536821,15.700772,5.703473,4.419610,3.637743,2.074479,3.174349,2.109944,2.481694,2.059242,2.293035,1.499651,2.024177,1.841970,2.517556,1.463044,1.601386,1.693593,1.740995,1.381146,1.663590,1.530813,1.573597,1.429156,1.247799,1.170185,1.153855,11.657728,3.952983,3.068444,2.452075,1.572317,1.606051,1.561339,1.611196,1.303992,1.492670,1.216505,1.275833,1.091793,1.572794,1.007102,1.140997,1.090448,1.137479,0.900389,1.135735,0.992898,1.001383,0.920583,0.813696,0.845554,0.824575,reggae
-201.187321,104.140945,-15.433327,30.819803,14.269036,31.429632,-7.858111,17.971575,-4.051703,16.944327,-11.206172,12.127294,-5.281906,-0.686755,-1.383520,3.935831,-5.853744,1.040419,-2.976456,-1.359459,0.781790,1.287860,3.865279,-3.256617,-0.740660,-1.004128,-0.149671,-0.064094,0.069741,0.011479,0.018581,0.015983,-0.013242,-0.000444,-0.003465,-0.002650,0.004878,0.022475,0.014530,-0.000580,-0.005351,0.002649,-0.000168,0.000362,0.001035,0.001445,-0.012032,-0.011400,-0.010507,-0.006156,0.002550,-0.003118,0.017910,0.004242,0.018025,0.009524,0.004422,-0.000426,-0.003259,0.001953,-0.001789,0.002518,0.004982,0.002719,-0.003609,-0.000247,-0.002249,-0.001391,0.002329,-0.000003,0.003704,0.000861,0.002325,0.001358,0.003992,0.001511,-0.000505,0.002052,73.983560,33.557980,27.646436,17.738790,17.297099,14.770573,15.009386,13.768517,10.720762,10.012093,10.198807,9.702948,9.615582,10.527729,8.899689,8.874474,8.218585,8.229860,8.816603,9.780570,9.597395,10.198791,10.426358,10.074810,9.439738,9.912578,13.675264,5.852751,4.550191,3.027338,2.917225,2.211108,2.458483,2.093769,1.835138,1.509037,1.763557,1.739901,1.911557,1.966585,1.658517,1.617429,1.388213,1.298623,1.339742,1.474119,1.465904,1.680048,1.714038,1.724550,1.480676,1.429989,10.408857,3.231981,2.622371,1.793842,1.656900,1.389775,1.734511,1.467141,1.237288,1.050811,1.107401,1.123503,1.284004,1.165847,1.020696,1.038997,0.839330,0.791135,0.805214,0.858560,0.856100,0.916371,0.947847,0.946765,0.936674,0.807836,reggae
-175.551206,104.886211,-15.680852,27.523688,-8.108692,24.019667,-10.319920,18.858123,-8.376988,11.853948,-7.580990,12.563685,-6.032729,2.497779,1.900042,7.134635,-3.370106,12.441626,-3.351833,0.741723,1.881720,-1.265311,0.016589,1.675364,1.253123,-0.244634,0.078249,-0.090648,-0.004223,0.020153,-0.021904,0.021235,0.004526,-0.003355,-0.011385,0.015917,-0.012822,0.008007,-0.002526,0.010399,-0.002844,0.010362,-0.009396,-0.001378,-0.017893,-0.012762,0.008321,-0.001918,0.000684,0.017764,0.018747,0.008179,0.068646,0.003355,0.021661,0.028237,0.013084,0.011269,0.010866,0.015244,0.007846,-0.004754,0.002193,0.011124,0.001491,0.007045,-0.000178,-0.002880,0.017722,-0.000873,0.000906,0.005956,-0.002741,0.013529,0.008567,0.000944,-0.007115,-0.003958,83.966983,29.597902,23.643400,19.383360,15.631738,14.116110,16.009827,13.672562,13.579131,12.616545,11.607789,11.239862,9.770797,10.774224,9.217514,9.172282,9.325065,9.663070,8.416282,9.461126,9.507560,8.306548,8.320285,7.869509,9.553392,10.149581,15.320638,5.288625,4.040590,3.535662,2.627153,2.366506,2.628813,2.695207,2.186558,2.256063,1.932576,2.105575,1.746287,2.188467,1.705195,1.665331,1.470209,1.417991,1.357600,1.400994,1.386196,1.343004,1.397278,1.232794,1.377933,1.388277,11.664082,3.316533,2.460422,2.132771,1.653425,1.466204,1.605710,1.736278,1.393214,1.423703,1.351882,1.371214,1.144570,1.270171,1.113229,1.043300,1.021864,0.971219,0.974015,0.997508,0.962818,0.951934,0.933982,0.836489,0.939329,0.860640,reggae
-176.739929,116.833222,-21.306899,38.748923,-5.442438,26.611662,-8.168012,15.770070,-10.479754,11.034122,-10.042137,9.911090,-3.231559,2.821824,-2.523677,-1.418689,-9.884725,3.067543,-0.278374,1.988757,2.128536,-4.988233,-1.232871,1.383115,-1.153693,-2.484829,-0.109257,-0.018918,0.016173,0.017138,0.015255,0.018131,-0.017802,0.004842,0.006532,0.011664,0.006462,0.012747,0.001868,0.013005,0.002400,-0.007773,-0.004909,-0.012619,-0.009119,-0.006241,-0.000518,0.000327,0.003077,0.000264,0.007655,0.008175,-0.012988,-0.004286,0.006027,-0.006000,0.013929,0.000073,0.002141,-0.005542,0.003378,0.004060,0.009541,-0.002222,0.004373,-0.002552,0.005090,-0.006314,0.002906,0.003430,0.003221,-0.000978,0.004373,0.003779,0.009557,0.000878,-0.002348,-0.005875,73.586767,28.448476,23.110426,15.672059,18.877604,13.593149,13.699497,10.233012,10.567121,10.876972,9.143253,9.205693,9.344077,8.700840,8.794584,9.315752,9.414871,9.817024,9.505807,9.036328,9.021386,9.225649,9.498809,9.099524,7.925469,8.410278,13.676684,5.358930,4.323855,2.911933,3.295044,2.629523,2.556729,2.012422,1.865548,2.007119,1.719036,1.742558,1.800796,1.561152,1.527071,1.633465,1.714741,1.625689,1.534631,1.574054,1.605519,1.646719,1.517039,1.614493,1.341606,1.522668,10.598344,3.615470,3.173590,1.909015,2.100322,1.573760,1.756632,1.333100,1.315890,1.335933,1.104182,1.293203,1.190394,1.238210,1.029270,1.198792,1.063523,1.001284,0.926648,1.026264,1.095306,1.028480,1.044649,0.933115,0.968685,0.922846,reggae
-207.369927,134.706548,-9.091634,38.452316,6.315116,22.596764,-8.299475,16.291506,-8.469052,4.136565,-4.349609,6.345201,-6.907837,0.954808,-0.950244,-2.539478,-6.093458,2.484670,-6.171946,-4.575995,-1.459574,-4.745260,0.356353,0.075279,-0.298808,-0.876216,-0.074195,0.004566,-0.024984,0.006532,0.024834,-0.020490,0.004597,-0.012531,-0.013172,-0.030847,-0.018919,-0.005138,0.000641,-0.000400,-0.001968,0.001954,0.005372,-0.016782,-0.007447,0.002778,-0.002470,-0.004564,0.003686,0.007059,0.005733,0.001052,-0.008205,0.025227,0.011546,0.002152,0.017619,0.000710,0.007730,-0.007930,-0.000153,-0.005196,0.003101,0.004308,-0.000901,-0.000237,0.002564,-0.000815,0.003022,0.000723,0.000250,0.000368,-0.003227,0.002258,0.001030,-0.000042,-0.002761,-0.000478,71.982671,33.272512,26.919763,20.654208,19.940641,13.591889,17.707115,12.313341,11.016913,11.858526,10.544953,9.605533,9.360830,7.949294,8.209786,8.074426,8.121378,8.073489,8.562733,6.500552,7.231426,7.719969,7.478787,7.693418,7.981979,8.051147,12.988191,5.158521,4.448869,3.132471,3.070546,2.305029,2.587159,2.233564,1.824493,1.894625,1.740511,1.704007,1.570230,1.299319,1.301017,1.365120,1.289030,1.174515,1.301869,1.076210,1.227795,1.257418,1.165826,1.149485,1.264000,1.245284,10.446347,3.283978,3.008091,1.979379,1.918724,1.513717,1.582377,1.651414,1.190895,1.209871,1.110819,1.089118,1.065097,0.890248,0.867092,0.893429,0.835475,0.787481,0.910371,0.752872,0.806577,0.862404,0.754298,0.751856,0.763519,0.807210,reggae
-192.232354,116.503927,-10.944519,29.895707,-0.660605,21.446616,-11.871786,18.647599,-13.083757,14.465287,-7.384208,4.825855,-2.808274,3.124053,-1.616717,-2.387407,-6.525195,-1.414990,-5.541775,-2.549601,1.239672,-0.398901,1.764684,-1.586631,-0.783798,-0.343186,0.080548,-0.006233,-0.000505,0.014655,-0.004972,0.025830,0.022366,0.028087,-0.000962,0.017791,-0.000190,-0.001751,0.020718,0.014221,-0.006778,-0.007030,-0.008730,-0.012559,-0.018471,-0.010621,0.009321,0.007322,-0.011189,-0.000977,0.006276,0.007999,-0.042322,0.010796,0.016077,0.010784,-0.007275,0.003988,0.018112,-0.008890,-0.004962,-0.000769,0.004089,-0.011248,0.003686,0.002755,0.001491,-0.003964,-0.003163,-0.005777,-0.006057,-0.002999,0.001052,-0.004677,0.003681,-0.002488,-0.003050,-0.002233,70.853658,25.788891,26.931749,20.420747,18.550643,11.985393,20.089876,12.495491,12.619587,12.103138,11.792921,10.377872,10.723590,9.268074,8.539827,9.831344,9.400095,7.624451,8.378637,9.257871,9.018370,9.218496,8.408395,10.336572,9.002434,8.060191,14.574425,4.825947,4.931508,2.966043,2.496538,1.967790,2.812430,2.250512,1.997015,1.915398,1.972764,1.809573,2.130104,1.640942,1.601739,1.927584,1.756522,1.410315,1.483277,1.510559,1.552927,1.646980,1.387464,1.546633,1.412087,1.306502,8.604502,3.432876,2.813378,1.723115,1.489776,1.220166,1.530664,1.567474,1.266473,1.277800,1.156217,1.449226,1.183484,1.293832,0.957709,1.216539,1.142106,1.033222,1.064258,1.002240,0.925915,1.147076,0.883969,0.976175,0.887431,0.875542,reggae
-194.515975,118.600545,-6.409203,40.804306,-3.286631,25.466775,-9.305660,11.397344,-6.154967,15.340880,-5.159608,5.765297,-6.277686,5.883499,-2.790145,2.583533,-4.748841,4.531832,-3.186211,-0.319188,-3.819523,-3.986356,-1.103203,0.491212,0.889975,-5.898360,0.009819,0.050374,-0.012048,0.002935,-0.014921,-0.010325,0.017006,-0.009142,-0.016135,-0.004151,-0.000636,-0.009816,0.009307,0.011658,0.009709,-0.003302,-0.000878,-0.008729,-0.000439,-0.007796,-0.000963,-0.003702,-0.000405,0.003051,0.005773,0.003611,0.046666,0.002365,-0.027458,-0.003076,-0.000731,-0.011324,-0.001926,0.002587,0.001574,-0.002308,0.000302,-0.002105,-0.004616,-0.005460,-0.003073,0.000132,0.004388,0.005813,0.001620,-0.001177,-0.006156,-0.006231,-0.000173,0.002846,-0.000027,-0.001842,76.887186,33.756348,24.320699,22.469036,17.977087,12.321954,15.328574,12.780701,14.193210,11.296713,10.271621,9.134584,10.234225,10.317264,11.425713,8.694346,8.966927,9.428034,9.302901,10.167704,9.291302,9.304333,10.138565,8.982897,9.233391,10.813136,13.815765,5.954978,4.289338,3.395402,2.957729,2.317341,2.451376,2.156709,2.218570,1.841474,1.838603,1.528906,1.616485,1.629888,1.714395,1.534709,1.512863,1.600618,1.537998,1.554090,1.582094,1.543816,1.709282,1.520648,1.506980,1.582040,9.471167,3.828188,2.795013,1.906935,2.006663,1.434701,1.598206,1.365595,1.544262,1.113439,1.236989,0.993247,1.036420,0.983998,1.110791,0.951359,1.026594,1.021038,0.948180,0.914108,0.956649,0.937148,1.019983,0.940436,0.947201,1.009691,reggae
-233.639421,87.541044,-22.235765,52.070149,-8.567039,24.976644,-18.237311,1.881996,-9.134016,-0.232069,-17.060804,-3.026628,-9.788325,-8.793387,-7.721216,-2.190893,-13.639559,-6.491189,-9.144041,-12.712145,-9.084864,-10.828592,-9.460438,-6.377626,-10.847414,-7.811781,0.188626,0.055584,-0.009858,0.043435,-0.000476,0.000390,-0.006752,-0.012229,-0.015255,0.016724,-0.022018,-0.012257,-0.007047,-0.014117,0.005042,-0.002960,0.002084,-0.013756,-0.003542,0.023544,0.002696,0.001208,0.005588,0.000917,0.001442,-0.016497,0.008785,0.006158,-0.008292,0.000257,0.004921,-0.002182,0.002319,0.005013,0.005417,-0.000908,-0.000077,-0.000716,0.004374,0.006211,0.002627,-0.003848,0.003426,0.000410,-0.004285,0.002428,0.001507,0.001019,0.000305,-0.001364,-0.002596,-0.003238,70.618467,30.434612,20.105623,18.573186,20.362717,10.126699,18.127736,10.672013,10.454033,9.238299,10.108563,9.288285,9.304999,7.954417,8.069003,8.346788,10.589642,6.874584,8.661046,7.955963,10.263031,10.150938,12.118646,10.145841,10.373290,11.770109,10.391325,4.669599,3.110385,3.039041,2.529931,1.722843,2.131115,1.762111,1.463437,1.578457,1.459555,1.398446,1.406498,1.293123,1.282932,1.357200,1.374476,1.070809,1.112369,1.251130,1.370976,1.262039,1.384733,1.342749,1.384987,1.572143,5.656145,2.691294,1.661347,1.723059,1.302299,1.012919,1.147972,1.050704,0.841891,0.928096,0.841538,0.849765,0.801132,0.728146,0.812753,0.787087,0.790830,0.638390,0.674423,0.674735,0.751961,0.773439,0.724014,0.799294,0.842001,0.921210,reggae
